seeing,none,bad,bad,bad,bad,average,average,average,average,good,good,good,good,bad,bad,bad,bad,average,average,average,average,good,good,good,good,bad,bad,bad,bad,average,average,average,average,good,good,good,good
zenith,none,0,30,45,60,0,30,45,60,0,30,45,60,0,30,45,60,0,30,45,60,0,30,45,60,0,30,45,60,0,30,45,60,0,30,45,60
mag,TOA_Flux,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,NGS,NGS,NGS,NGS,NGS,NGS,NGS,NGS,NGS,NGS,NGS,NGS,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF
Band,e-,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
0.01,,91.8,99,112.4,146.1,114.3,123.7,141.7,186.3,143.6,155.4,178.3,236,144.1732533,147.1563311,152.2854693,164.420838,157.1877268,162.1538513,170.634149,190.6000544,180.7977648,188.9975037,203.9669526,237.7015777,213,213,213,213,213,213,213,213,213,213,213,213
1,4259226009,91.8,99,112.4,146.1,114.3,123.7,141.7,186.3,143.6,155.4,178.3,236,144.1732533,147.1563311,152.2854693,164.420838,157.1877268,162.1538513,170.634149,190.6000544,180.7977648,188.9975037,203.9669526,237.7015777,213,213,213,213,213,213,213,213,213,213,213,213
2,1695628415,91.8,99,112.4,146.1,114.3,123.7,141.7,186.3,143.6,155.4,178.3,236,144.1732533,147.1563311,152.2854693,164.420838,157.1877268,162.1538513,170.634149,190.6000544,180.7977648,188.9975037,203.9669526,237.7015777,213,213,213,213,213,213,213,213,213,213,213,213
3,675041830.7,91.8,99,112.4,146.1,114.3,123.7,141.7,186.3,143.6,155.4,178.3,236,144.1732533,147.1563311,152.2854693,164.420838,157.1877268,162.1538513,170.634149,190.6000544,180.7977648,188.9975037,203.9669526,237.7015777,213,213,213,213,213,213,213,213,213,213,213,213
4,268738993.2,91.8,99,112.4,146.1,114.3,123.7,141.7,186.3,143.6,155.4,178.3,236,144.1732533,147.1563311,152.2854693,164.420838,157.1877268,162.1538513,170.634149,190.6000544,180.7977648,188.9975037,203.9669526,237.7015777,213,213,213,213,213,213,213,213,213,213,213,213
5,106986920.2,91.8,99,112.4,146.1,114.3,123.7,141.7,186.3,143.6,155.4,178.3,236,144.1732533,147.1563311,152.2854693,164.420838,157.1877268,162.1538513,170.634149,190.6000544,180.7977648,188.9975037,203.9669526,237.7015777,213,213,213,213,213,213,213,213,213,213,213,213
6,42592260.09,91.8,99,112.4,146.1,114.3,123.7,141.7,186.3,143.6,155.4,178.3,236,144.1732533,147.1563311,152.2854693,164.420838,157.1877268,162.1538513,170.634149,190.6000544,180.7977648,188.9975037,203.9669526,237.7015777,213,213,213,213,213,213,213,213,213,213,213,213
7,16956284.15,91.8,99,112.4,146.1,114.3,123.7,141.7,186.3,143.6,155.4,178.3,236,144.1732533,147.1563311,152.2854693,164.420838,157.1877268,162.1538513,170.634149,190.6000544,180.7977648,188.9975037,203.9669526,237.7015777,213,213,213,213,213,213,213,213,213,213,213,213
8,6750418.307,91.8,99,112.4,146.1,114.3,123.7,141.7,186.3,143.6,155.4,178.3,236,144.1732533,147.1563311,152.2854693,164.420838,157.1877268,162.1538513,170.634149,190.6000544,180.7977648,188.9975037,203.9669526,237.7015777,213,213,213,213,213,213,213,213,213,213,213,213
9,2687389.932,91.8,99,112.4,146.1,114.3,123.7,141.7,186.3,143.6,155.4,178.3,236,144.393747,147.405064,152.6321015,164.9111208,157.5357448,162.6092096,171.1411128,191.3293699,181.1929611,189.7378434,204.3462081,238.2510777,213,213,213,213,213,213,213,213,213,213,213,213
10,1069869.202,91.8,99,112.4,146.1,114.3,123.7,141.7,186.3,143.6,155.4,178.3,236,145.046749,148.1425576,153.4707981,165.8576787,158.5362422,163.7207707,172.2175621,192.6481742,182.6438887,191.0306415,205.7044376,239.9659899,213,213,213,213,213,213,213,213,213,213,213,213
