seeing,none,bad,bad,bad,bad,average,average,average,average,good,good,good,good,bad,bad,bad,bad,average,average,average,average,good,good,good,good,bad,bad,bad,bad,average,average,average,average,good,good,good,good
zenith,none,0,30,45,60,0,30,45,60,0,30,45,60,0,30,45,60,0,30,45,60,0,30,45,60,0,30,45,60,0,30,45,60,0,30,45,60
mag,TOA_Flux,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,NGS,NGS,NGS,NGS,NGS,NGS,NGS,NGS,NGS,NGS,NGS,NGS,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF
Band,e-,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
0.01,,0.984166667,1.147583333,1.25225,1.297583333,1.192722222,1.354055556,1.520777778,1.648388889,1.493277778,1.616333333,1.903916667,2.318055556,0.45675,0.502361111,0.592277778,0.787944444,0.66575,0.755361111,0.883833333,1.254055556,1.080222222,1.214472222,1.548361111,2.139861111,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55
1,4259226009,0.984166667,1.147583333,1.25225,1.297583333,1.192722222,1.354055556,1.520777778,1.648388889,1.493277778,1.616333333,1.903916667,2.318055556,0.45675,0.502361111,0.592277778,0.787944444,0.66575,0.755361111,0.883833333,1.254055556,1.080222222,1.214472222,1.548361111,2.139861111,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55
2,1695628415,0.984166667,1.147583333,1.25225,1.297583333,1.192722222,1.354055556,1.520777778,1.648388889,1.493277778,1.616333333,1.903916667,2.318055556,0.45675,0.502361111,0.592277778,0.787944444,0.66575,0.755361111,0.883833333,1.254055556,1.080222222,1.214472222,1.548361111,2.139861111,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55
3,675041830.7,0.984166667,1.147583333,1.25225,1.297583333,1.192722222,1.354055556,1.520777778,1.648388889,1.493277778,1.616333333,1.903916667,2.318055556,0.45675,0.502361111,0.592277778,0.787944444,0.66575,0.755361111,0.883833333,1.254055556,1.080222222,1.214472222,1.548361111,2.139861111,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55
4,268738993.2,0.984166667,1.147583333,1.25225,1.297583333,1.192722222,1.354055556,1.520777778,1.648388889,1.493277778,1.616333333,1.903916667,2.318055556,0.45675,0.502361111,0.592277778,0.787944444,0.66575,0.755361111,0.883833333,1.254055556,1.080222222,1.214472222,1.548361111,2.139861111,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55
5,106986920.2,0.984166667,1.147583333,1.25225,1.297583333,1.192722222,1.354055556,1.520777778,1.648388889,1.493277778,1.616333333,1.903916667,2.318055556,0.45675,0.502361111,0.592277778,0.787944444,0.66575,0.755361111,0.883833333,1.254055556,1.080222222,1.214472222,1.548361111,2.139861111,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55
6,42592260.09,0.984166667,1.147583333,1.25225,1.297583333,1.192722222,1.354055556,1.520777778,1.648388889,1.493277778,1.616333333,1.903916667,2.318055556,0.45675,0.502361111,0.592277778,0.787944444,0.66575,0.755361111,0.883833333,1.254055556,1.080222222,1.214472222,1.548361111,2.139861111,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55
7,16956284.15,0.984166667,1.147583333,1.25225,1.297583333,1.192722222,1.354055556,1.520777778,1.648388889,1.493277778,1.616333333,1.903916667,2.318055556,0.45675,0.502361111,0.592277778,0.787944444,0.66575,0.755361111,0.883833333,1.254055556,1.080222222,1.214472222,1.548361111,2.139861111,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55
