Radius,Profile
0.01512608,0.0885993672741784
0.04537824,0.0026509968360974075
0.0756304,0.0008553473808951523
0.10588256,0.0003776366163313806
0.13613472,0.0002391348995513152
0.16638688000000001,0.00015095912978240985
0.19663904,9.815442299027795e-05
0.22689120000000002,6.257759886341259e-05
0.25714336,5.285352675687287e-05
0.28739552,4.264410886000209e-05
0.31764768,3.351651014198515e-05
0.34789984,2.7574262901052735e-05
0.378152,2.373689551761208e-05
0.40840416,1.720185838779836e-05
0.43865632,1.5819355681124157e-05
0.46890848,1.338882683732418e-05
0.49916064,1.1400259372854245e-05
0.5294128,9.959459666532926e-06
0.55966496,8.58665585107147e-06
0.58991712,8.314388050343081e-06
0.62016928,7.933551492473254e-06
0.65042144,7.326589978005142e-06
0.6806736,6.544941756902755e-06
0.71092576,6.109974739717308e-06
0.74117792,4.9989346337408805e-06
0.77143008,4.51063119175783e-06
0.80168224,3.955203769500707e-06
0.8319344,3.8092623155352802e-06
0.86218656,3.065349404629686e-06
0.89243872,2.8792830429177083e-06
0.92269088,2.5594173565951443e-06
0.95294304,2.339313244815771e-06
0.9831952,2.1357811783254763e-06
1.01344736,1.9121785559343217e-06
1.04369952,1.7166677132582547e-06
1.07395168,1.5970652873611013e-06
1.10420384,1.4830896259562292e-06
1.134456,1.2850472654240713e-06
1.16470816,1.1563710106348873e-06
1.19496032,1.0465354901824704e-06
1.22521248,9.797519251496761e-07
1.25546464,8.887678493862589e-07
1.2857168,8.304395428461446e-07
1.31596896,7.5639561692863e-07
1.34622112,6.783525397011848e-07
1.37647328,6.166235361000763e-07
1.40672544,5.860782981186713e-07
1.4369776,5.554988145538948e-07
1.46722976,5.00681462927912e-07
1.49748192,4.4223828564002984e-07
1.52773408,3.966612914682316e-07
1.55798624,3.6368859991305313e-07
1.5882384,3.3689616709263467e-07
1.61849056,3.1693283947324487e-07
1.64874272,2.877792445226326e-07
1.67899488,2.6364735883466617e-07
1.70924704,2.478631480907503e-07
1.7394992,2.332645847531562e-07
1.76975136,2.2075595498423144e-07
1.80000352,2.0676794678746912e-07
1.83025568,2.0879718000801463e-07
1.86050784,1.5996871452156368e-07
1.89076,1.5491990133211677e-07
1.92101216,1.4844208951189158e-07
1.95126432,1.4029729078765567e-07
1.98151648,1.3250627833175632e-07
2.01176864,1.2313905125928835e-07
2.0420208,1.1793822515471106e-07
2.07227296,1.1425029044376919e-07
2.10252512,1.0930810871880945e-07
2.13277728,1.0584690638549173e-07
2.16302944,1.0546477953273475e-07
2.1932816,1.0717513751835928e-07
2.22353376,9.20145729884828e-08
2.25378592,8.568859313442568e-08
2.28403808,8.392274844150331e-08
2.31429024,8.135695007496261e-08
2.3445424,8.28432817103091e-08
2.37479456,7.819440904118432e-08
2.40504672,7.74344593109309e-08
2.43529888,7.415221311602432e-08
2.46555104,7.610130846132931e-08
2.4958032,7.413448089955304e-08
2.52605536,7.446742783626266e-08
2.55630752,8.485382120245216e-08
2.58655968,6.38025470025505e-08
2.61681184,6.562845911018732e-08
2.647064,6.349016227653818e-08
2.67731616,6.208284533337019e-08
2.70756832,6.197668578344917e-08
2.73782048,6.217071683017078e-08
2.76807264,6.044748832194637e-08
2.7983248,5.752891336507437e-08
2.82857696,5.710268394989192e-08
2.8588291200000002,5.6917692306587686e-08
2.88908128,5.701631920317709e-08
2.91933344,6.188583380652395e-08
2.9495856,5.415230024953726e-08
2.97983776,4.771057551319916e-08
3.01008992,4.7341646391238603e-08
3.04034208,4.6055597239345246e-08
3.07059424,4.4653679524298403e-08
3.1008464,4.2737103893767173e-08
3.13109856,4.178286365378954e-08
3.16135072,3.9586821475760217e-08
3.19160288,3.955381081155786e-08
3.22185504,3.826608094551908e-08
3.2521072,3.770829312819706e-08
3.28235936,4.45596748184625e-08
3.31261152,2.928640332149663e-08
3.3428636800000002,2.9371753063088867e-08
3.37311584,2.669409144594065e-08
3.403368,2.7192717408592428e-08
3.43362016,2.603282579342074e-08
3.46387232,2.489820388872309e-08
3.49412448,2.400746294529531e-08
3.52437664,2.223603644076275e-08
3.5546288,2.194724739970729e-08
3.58488096,2.1554267346282836e-08
3.61513312,2.149096377631263e-08
3.64538528,2.5426068596762373e-08
3.67563744,1.772817481735306e-08
3.7058896,1.5416053668909308e-08
3.73614176,1.592475771774064e-08
3.76639392,1.4207921841744843e-08
3.79664608,1.3447127253919484e-08
3.8268982400000002,1.312931943885567e-08
3.8571504,1.28937040022036e-08
3.88740256,1.2432083775868442e-08
3.91765472,1.183696865790307e-08
3.94790688,1.1709474791258021e-08
3.97815904,1.224230367040228e-08
4.0084112,1.924562518955947e-08
4.03866336,9.421099708702679e-09
4.06891552,8.970933145698539e-09
4.09916768,9.205523762696529e-09
