#length,65,meters,0.065,km,,
#wavelength,dB_420,dB_441,dB_444,T_420,T_441,T_444
1.4,47.83941347,19.39004501,42.76244277,0.489,0.748,0.527
1.41,46.87927159,18.94243026,42.37778214,0.496,0.753,0.530
1.42,46.01906394,18.73783496,42.22117342,0.502,0.755,0.532
1.43,44.91312995,18.61802291,41.26245982,0.511,0.757,0.539
1.44,43.95230548,18.20864788,39.63706055,0.518,0.761,0.553
1.45,43.0947408,17.75935914,39.34994096,0.525,0.767,0.555
1.46,43.09768613,17.36261446,38.00771596,0.525,0.771,0.566
1.47,46.28774833,17.11676931,37.78016381,0.500,0.774,0.568
1.48,55.31611387,16.76540475,36.53252713,0.437,0.778,0.579
1.49,59.89542584,16.60982858,35.9284941,0.408,0.780,0.584
1.5,52.91924966,16.3227231,34.79204604,0.453,0.783,0.594
1.51,47.35676446,15.92899028,33.70946826,0.492,0.788,0.604
1.52,46.14530885,15.75168796,33.62939961,0.501,0.790,0.605
1.53,45.113513,15.48309974,32.1741902,0.509,0.793,0.618
1.54,44.27764821,15.13008744,31.86029705,0.515,0.797,0.621
1.55,43.43208779,14.77728777,30.65799629,0.522,0.802,0.632
1.56,42.69514755,14.54597988,29.60566648,0.528,0.804,0.642
1.57,41.97157852,14.22097948,28.70542207,0.534,0.808,0.651
1.58,40.92602588,13.87535112,27.99278377,0.542,0.812,0.658
1.59,40.20838924,13.56912939,26.83881129,0.548,0.816,0.669
1.6,39.54133656,13.28874615,25.80422855,0.553,0.820,0.680
1.61,38.37999153,12.84141535,25.85671582,0.563,0.825,0.679
1.62,37.82918564,12.5103916,24.75294728,0.568,0.829,0.690
1.63,37.12935871,12.34460478,23.53638362,0.574,0.831,0.703
1.64,36.50653933,12.09977454,23.04058491,0.579,0.834,0.708
1.65,35.5210972,11.74537412,22.67819515,0.588,0.839,0.712
1.66,35.23258222,11.33351945,22.05950969,0.590,0.844,0.719
1.67,34.69978814,10.94086644,21.35432883,0.595,0.849,0.726
1.68,34.08204647,10.87476908,20.68530319,0.600,0.850,0.734
1.69,33.49505138,10.64491601,20.35443713,0.606,0.853,0.737
1.7,32.92442587,10.31069063,19.62668769,0.611,0.857,0.745
1.71,32.29069814,10.04177321,18.79291234,0.617,0.860,0.755
1.72,31.36353187,9.714595348,18.51911291,0.625,0.865,0.758
1.73,31.04910494,9.398589714,17.94999461,0.628,0.869,0.764
1.74,30.20284768,9.124299052,16.91804913,0.636,0.872,0.776
1.75,29.64328537,8.844550749,17.30805811,0.642,0.876,0.772
1.76,28.83015584,8.895935772,16.93599673,0.650,0.875,0.776
1.77,28.76410687,8.834587247,16.10462132,0.650,0.876,0.786
1.78,28.0570237,8.585105102,15.64910204,0.657,0.879,0.791
1.79,27.6913764,8.497488761,15.27163193,0.661,0.881,0.796
1.8,27.31459416,8.267619326,14.9281474,0.664,0.884,0.800
