mag,Flux[e-],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm]
seeing,,good,good,good,good,good,average,average,average,average,average,bad,bad,bad,bad,bad,good,good,good,good,good,average,average,average,average,average,bad,bad,bad,bad,bad,good,good,good,good,good,average,average,average,average,average,bad,bad,bad,bad,bad,good,good,good,good,good,average,average,average,average,average,bad,bad,bad,bad,bad,good,good,good,good,good,average,average,average,average,average,bad,bad,bad,bad,bad,good,good,good,good,good,average,average,average,average,average,bad,bad,bad,bad,bad,good,good,good,good,good,average,average,average,average,average,bad,bad,bad,bad,bad,good,good,good,good,good,average,average,average,average,average,bad,bad,bad,bad,bad
zenith_angle,,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60
ao_mode,,LGS_100H,LGS_100H,LGS_100H,LGS_100H,LGS_100H,LGS_100H,LGS_100H,LGS_100H,LGS_100H,LGS_100H,LGS_100H,LGS_100H,LGS_100H,LGS_100H,LGS_100H,LGS_100J,LGS_100J,LGS_100J,LGS_100J,LGS_100J,LGS_100J,LGS_100J,LGS_100J,LGS_100J,LGS_100J,LGS_100J,LGS_100J,LGS_100J,LGS_100J,LGS_100J,LGS_STRAP,LGS_STRAP,LGS_STRAP,LGS_STRAP,LGS_STRAP,LGS_STRAP,LGS_STRAP,LGS_STRAP,LGS_STRAP,LGS_STRAP,LGS_STRAP,LGS_STRAP,LGS_STRAP,LGS_STRAP,LGS_STRAP,NGS_SH,NGS_SH,NGS_SH,NGS_SH,NGS_SH,NGS_SH,NGS_SH,NGS_SH,NGS_SH,NGS_SH,NGS_SH,NGS_SH,NGS_SH,NGS_SH,NGS_SH,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_80J,PyWFS_80J,PyWFS_80J,PyWFS_80J,PyWFS_80J,PyWFS_80J,PyWFS_80J,PyWFS_80J,PyWFS_80J,PyWFS_80J,PyWFS_80J,PyWFS_80J,PyWFS_80J,PyWFS_80J,PyWFS_80J,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_80H,PyWFS_80H,PyWFS_80H,PyWFS_80H,PyWFS_80H,PyWFS_80H,PyWFS_80H,PyWFS_80H,PyWFS_80H,PyWFS_80H,PyWFS_80H,PyWFS_80H,PyWFS_80H,PyWFS_80H,PyWFS_80H
band,,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
0.01,,183.8696899,185.701767,191.9367981,207.033371,236.5708771,207.1495361,209.4131317,215.7434387,233.2778778,269.0028381,241.8779602,244.9442596,256.6509094,277.3389893,322.4323425,185.7498779,187.713974,191.9285278,207.0418243,236.5708618,207.1377716,207.9657745,215.7554321,233.2897339,269.0013428,241.9024658,244.9593658,256.6506348,277.343689,322.4342346,183.8798828,185.7314301,191.9346924,206.5744934,236.5709381,206.2026062,207.9650574,215.7378693,233.2462769,269.0412292,242.5537415,244.9428406,255.1541748,277.3204651,322.4099426,127.4200897,128.0745392,130.4264374,138.7275238,157.016861,135.220932,136.0897827,139.2004242,148.8404083,170.1673584,149.3936768,150.604599,154.9221344,166.7386322,193.02034,127.3985825,128.0492096,130.3874359,138.6574707,156.8655853,135.1940308,136.059021,139.1560211,148.7653961,170.0141602,149.3539581,150.560791,154.8641205,166.6493683,192.8538513,127.3985825,128.0492096,130.3874359,138.6574707,156.8655853,135.1940308,136.059021,139.1560211,148.7653961,170.0141602,149.3539581,150.560791,154.8641205,166.6493683,192.8538513,127.3963089,128.0469208,130.3851166,138.6551056,156.8630676,135.1918335,136.0568085,139.1537628,148.7631226,170.0117035,149.3518524,150.55867,154.8619537,166.6471405,192.8514099,127.3963089,128.0469208,130.3851166,138.6551056,156.8630676,135.1918335,136.0568085,139.1537628,148.7631226,170.0117035,149.3518524,150.55867,154.8619537,166.6471405,192.8514099
1,4259226009,183.8696899,185.701767,191.9367981,207.033371,236.5708771,207.1495361,209.4131317,215.7434387,233.2778778,269.0028381,241.8779602,244.9442596,256.6509094,277.3389893,322.4323425,185.7498779,187.713974,191.9285278,207.0418243,236.5708618,207.1377716,207.9657745,215.7554321,233.2897339,269.0013428,241.9024658,244.9593658,256.6506348,277.343689,322.4342346,183.8798828,185.7314301,191.9346924,206.5744934,236.5709381,206.2026062,207.9650574,215.7378693,233.2462769,269.0412292,242.5537415,244.9428406,255.1541748,277.3204651,322.4099426,127.4200897,128.0745392,130.4264374,138.7275238,157.016861,135.220932,136.0897827,139.2004242,148.8404083,170.1673584,149.3936768,150.604599,154.9221344,166.7386322,193.02034,127.3985825,128.0492096,130.3874359,138.6574707,156.8655853,135.1940308,136.059021,139.1560211,148.7653961,170.0141602,149.3539581,150.560791,154.8641205,166.6493683,192.8538513,127.3985825,128.0492096,130.3874359,138.6574707,156.8655853,135.1940308,136.059021,139.1560211,148.7653961,170.0141602,149.3539581,150.560791,154.8641205,166.6493683,192.8538513,127.3963089,128.0469208,130.3851166,138.6551056,156.8630676,135.1918335,136.0568085,139.1537628,148.7631226,170.0117035,149.3518524,150.55867,154.8619537,166.6471405,192.8514099,127.3968392,128.0474503,130.3856432,138.655611,156.8635452,135.1923228,136.0572963,139.1542455,148.7635833,170.0121371,149.3522816,150.5590978,154.8623741,166.6475419,192.8517864
2,1695628415,183.8696899,185.701767,191.9367981,207.033371,236.5708771,207.1495361,209.4131317,215.7434387,233.2778778,269.0028381,241.8779602,244.9442596,256.6509094,277.3389893,322.4323425,185.7498779,187.713974,191.9285278,207.0418243,236.5708618,207.1377716,207.9657745,215.7554321,233.2897339,269.0013428,241.9024658,244.9593658,256.6506348,277.343689,322.4342346,183.8798828,185.7314301,191.9346924,206.5744934,236.5709381,206.2026062,207.9650574,215.7378693,233.2462769,269.0412292,242.5537415,244.9428406,255.1541748,277.3204651,322.4099426,127.4200897,128.0745392,130.4264374,138.7275238,157.016861,135.220932,136.0897827,139.2004242,148.8404083,170.1673584,149.3936768,150.604599,154.9221344,166.7386322,193.02034,127.3985825,128.0492096,130.3874359,138.6574707,156.8655853,135.1940308,136.059021,139.1560211,148.7653961,170.0141602,149.3539581,150.560791,154.8641205,166.6493683,192.8538513,127.4003128,128.05094,130.3891681,138.6591516,156.8672278,135.195644,136.0606323,139.1576251,148.7669543,170.01568,149.3554065,150.5622357,154.865556,166.6507654,192.8552246,127.3985184,128.0491272,130.3873108,138.6572113,156.8650574,135.1938721,136.0588409,139.1557739,148.7650421,170.0135101,149.3536407,150.5604523,154.8637054,166.6488129,192.8529785,127.4020139,128.0526179,130.3907818,138.6605424,156.8682068,135.1970962,136.0620555,139.1589548,148.7680802,170.016368,149.3564715,150.5632714,154.8664784,166.6514584,192.8554592
3,675041830.7,183.8696899,185.701767,191.9367981,207.033371,236.5708771,207.1495361,209.4131317,215.7434387,233.2778778,269.0028381,241.8779602,244.9442596,256.6509094,277.3389893,322.4323425,185.7498779,187.713974,191.9285278,207.0418243,236.5708618,207.1377716,207.9657745,215.7554321,233.2897339,269.0013428,241.9024658,244.9593658,256.6506348,277.343689,322.4342346,183.8798828,185.7314301,191.9346924,206.5744934,236.5709381,206.2026062,207.9650574,215.7378693,233.2462769,269.0412292,242.5537415,244.9428406,255.1541748,277.3204651,322.4099426,127.4200897,128.0745392,130.4264374,138.7275238,157.016861,135.220932,136.0897827,139.2004242,148.8404083,170.1673584,149.3936768,150.604599,154.9221344,166.7386322,193.02034,127.4057922,128.0564194,130.3946533,138.6644745,156.8724289,135.2007523,136.0657349,139.1627045,148.7718887,170.0204926,149.359993,150.5668106,154.8701019,166.6551895,192.8595734,127.4119528,128.0625809,130.4008148,138.6704639,156.8782773,135.2064926,136.0714697,139.1684174,148.777435,170.0259015,149.3651474,150.571954,154.8752124,166.6601645,192.8644605,127.4130829,128.0636719,130.4017731,138.6710907,156.8781799,135.2073059,136.0722351,139.1690277,148.7777008,170.0254181,149.3654358,150.5721985,154.8752594,166.6598358,192.8633148,127.422299,128.0728755,130.410924,138.6798732,156.88649,135.2158042,136.0807092,139.1774132,148.7857164,170.0329525,149.372905,150.5796311,154.8825778,166.6668121,192.8698531
4,268738993.2,183.8696899,185.701767,191.9367981,207.033371,236.5708771,207.1495361,209.4131317,215.7434387,233.2778778,269.0028381,241.8779602,244.9442596,256.6509094,277.3389893,322.4323425,185.7498779,187.713974,191.9285278,207.0418243,236.5708618,207.1377716,207.9657745,215.7554321,233.2897339,269.0013428,241.9024658,244.9593658,256.6506348,277.343689,322.4342346,183.8798828,185.7314301,191.9346924,206.5744934,236.5709381,206.2026062,207.9650574,215.7378693,233.2462769,269.0412292,242.5537415,244.9428406,255.1541748,277.3204651,322.4099426,127.4200897,128.0745392,130.4264374,138.7275238,157.016861,135.220932,136.0897827,139.2004242,148.8404083,170.1673584,149.3936768,150.604599,154.9221344,166.7386322,193.02034,127.4314613,128.0820923,130.4203262,138.6894302,156.8967972,135.2246704,136.0896301,139.1865082,148.7949982,170.0430298,149.3814697,150.5882416,154.8913956,166.6759186,192.8799362,127.4475416,128.0981763,130.4364084,138.7050656,156.9120682,135.2396558,136.1046008,139.201424,148.8094782,170.0571545,149.3949225,150.6016724,154.9047403,166.6889099,192.8926968,127.4514832,128.1020203,130.4399017,138.7076843,156.9128052,135.2427155,136.1075439,139.2039673,148.8110992,170.0568115,149.3965576,150.6031677,154.9057526,166.6889038,192.8905579,127.4773736,128.1278748,130.4656148,138.732364,156.9361592,135.266599,136.1313593,139.2275337,148.8336249,170.0779895,149.4175437,150.6240615,154.9263197,166.7085181,192.9089417
5,106986920.2,183.8696899,185.701767,191.9367981,207.033371,236.5708771,207.1495361,209.4131317,215.7434387,233.2778778,269.0028381,241.8779602,244.9442596,256.6509094,277.3389893,322.4323425,185.7498779,187.713974,191.9285278,207.0418243,236.5708618,207.1377716,207.9657745,215.7554321,233.2897339,269.0013428,241.9024658,244.9593658,256.6506348,277.343689,322.4342346,183.8798828,185.7314301,191.9346924,206.5744934,236.5709381,206.2026062,207.9650574,215.7378693,233.2462769,269.0412292,242.5537415,244.9428406,255.1541748,277.3204651,322.4099426,127.4200897,128.0745392,130.4264374,138.7275238,157.016861,135.220932,136.0897827,139.2004242,148.8404083,170.1673584,149.3936768,150.604599,154.9221344,166.7386322,193.02034,127.4984627,128.1491089,130.4873352,138.7545776,156.9604263,135.2871094,136.1520081,139.2486572,148.8553314,170.1018829,149.4375229,150.6442032,154.9469986,166.7300491,192.9331055,127.542657,128.1933124,130.531546,138.7975671,157.0024399,135.3283045,136.1931665,139.2896673,148.8951569,170.1407525,149.4745194,150.6811374,154.9837003,166.7657895,192.9682288,127.5593597,128.2097473,130.5470398,138.8105164,157.0101135,135.3422302,136.2067749,139.3021606,148.9049561,170.1450531,149.4839996,150.6902252,154.991449,166.7706299,192.967157,127.6415462,128.2918218,130.6286792,138.8889104,157.084362,135.4180849,136.2824114,139.3770185,148.9765503,170.2124154,149.5507071,150.756639,155.0568323,166.8330044,193.0256621
