# wavelength (nm),inst_bkg (ph/s) 
9.200000000000000000e+02,3.082078671029544908e-88
9.201000000000000227e+02,3.157465103512045954e-88
9.202000000000000455e+02,3.234678424904441881e-88
9.203000000000000682e+02,3.313762492889533068e-88
9.204000000000000909e+02,3.394762208036895566e-88
9.205000000000001137e+02,3.477723538362386236e-88
9.206000000000001364e+02,3.562693544462778713e-88
9.207000000000001592e+02,3.649720405232187769e-88
9.208000000000001819e+02,3.738853444181821910e-88
9.209000000000002046e+02,3.830143156370911650e-88
9.210000000000002274e+02,3.923641235965275711e-88
9.211000000000002501e+02,4.019400527752096700e-88
9.212000000000002728e+02,4.117475282302437171e-88
9.213000000000002956e+02,4.217920962814795010e-88
9.214000000000003183e+02,4.320794348396185261e-88
9.215000000000003411e+02,4.426153564981575927e-88
9.216000000000003638e+02,4.534058116973289171e-88
9.217000000000003865e+02,4.644568919617553494e-88
9.218000000000004093e+02,4.757748332132712431e-88
9.219000000000004320e+02,4.873660191606148080e-88
9.220000000000004547e+02,4.992369847684594149e-88
9.221000000000004775e+02,5.113944142166073762e-88
9.222000000000005002e+02,5.238451610280902156e-88
9.223000000000005230e+02,5.365962355523870809e-88
9.224000000000005457e+02,5.496548140941358708e-88
9.225000000000005684e+02,5.630282428037686661e-88
9.226000000000005912e+02,5.767240416585527750e-88
9.227000000000006139e+02,5.907499085362901050e-88
9.228000000000006366e+02,6.051137233829856144e-88
9.229000000000006594e+02,6.198235524776814110e-88
9.230000000000006821e+02,6.348876527960543381e-88
9.231000000000007049e+02,6.503144746924121134e-88
9.232000000000007276e+02,6.661126717294270859e-88
9.233000000000007503e+02,6.822911001746002847e-88
9.234000000000007731e+02,6.988588254816661863e-88
9.235000000000007958e+02,7.158251271840369515e-88
9.236000000000008185e+02,7.331995039012965974e-88
9.237000000000008413e+02,7.509916784617514764e-88
9.238000000000008640e+02,7.692116031437517660e-88
9.239000000000008868e+02,7.878694650380517521e-88
9.240000000000009095e+02,8.069756915345089464e-88
9.241000000000009322e+02,8.265409604505557924e-88
9.242000000000009550e+02,8.465761924494281002e-88
9.243000000000009777e+02,8.670925700297738617e-88
9.244000000000010004e+02,8.881015392348164320e-88
9.245000000000010232e+02,9.096148158033498827e-88
9.246000000000010459e+02,9.316443914630291403e-88
9.247000000000010687e+02,9.542025403690293698e-88
9.248000000000010914e+02,9.773018256912942763e-88
9.249000000000011141e+02,1.000955106354263502e-87
