#Wavelength (nm)	% Transmission (Unpol.)
200	77.297263
205	79.381315
210	82.788715
215	86.300285
220	88.804121
225	89.703353
230	89.295626
235	88.231048
240	87.591281
245	88.306802
250	90.209808
255	92.081752
260	93.349752
265	93.951083
270	94.21508
275	94.306782
280	94.38002
285	94.42752
290	94.48662
295	94.52394
300	94.581198
305	94.596369
310	94.633961
315	93.094362
320	93.145662
325	93.170901
330	93.200903
335	93.239413
340	93.260156
345	93.27921
350	93.312097
355	93.324707
360	93.345331
365	93.364237
370	93.378422
375	93.413666
380	93.432597
385	93.450266
390	93.443393
395	93.470682
400	93.463687
405	93.506835
410	93.50108
415	93.524521
420	93.538442
425	93.537764
430	93.554257
435	93.564123
440	93.565477
445	93.58329
450	93.58745
455	93.607073
460	93.611034
465	93.61791
470	93.609993
475	93.635482
480	93.624332
485	93.641368
490	93.64425
495	93.655436
500	93.658164
505	93.666892
510	93.650396
515	93.68902
520	93.682021
525	93.696278
530	93.699864
535	93.697537
540	93.70706
545	93.704543
550	93.706015
555	93.721765
560	93.713185
565	93.713548
570	93.714441
575	93.728533
580	93.716755
585	93.733551
590	93.721327
595	93.729365
600	93.737662
605	93.751192
610	93.74141
615	93.759847
620	93.751374
625	93.754556
630	93.743161
635	93.774557
640	93.752367
645	93.756963
650	93.762882
655	93.769649
660	93.779264
665	93.787357
670	93.782258
675	93.772672
680	93.779045
685	93.800178
690	93.781909
695	93.78946
700	93.796402
705	93.80325
710	93.809975
715	93.793846
720	93.829323
725	93.808171
730	93.824972
735	93.822215
740	93.821303
745	93.841976
750	93.839821
755	93.836673
760	93.837278
765	93.840222
770	93.855861
775	93.857045
780	93.860471
785	93.874346
790	93.877453
795	93.883792
800	93.884479
805	93.898869
810	93.899663
815	93.917287
820	93.918937
825	93.945779
830	93.980317
835	93.972463
840	93.998882
845	93.968018
850	93.949627
855	93.977178
860	94.275656
865	94.256565
870	94.221786
875	94.194367
880	94.142281
885	94.093996
890	94.079993
895	94.054994
900	94.009318
905	94.021549
910	94.03827
915	94.042824
920	94.04348
925	94.035857
930	94.06745
935	94.06023
940	94.080607
