# wavelength (nm),transmission (I/F) 
8.000000000000000444e-01,7.127274123138584994e-01
8.000499999999999279e-01,7.103343421406077551e-01
8.000999999999999224e-01,7.079462474640590974e-01
8.001499999999999169e-01,7.055631231998344965e-01
8.001999999999998003e-01,7.031849642631066155e-01
8.002499999999997948e-01,7.008117655686030290e-01
8.002999999999996783e-01,6.984435220306101089e-01
8.003499999999996728e-01,6.960802285629789088e-01
8.003999999999996673e-01,6.937218800791244977e-01
8.004499999999995508e-01,6.913684714920327323e-01
8.004999999999995453e-01,6.890199977142642540e-01
8.005499999999995397e-01,6.866764536579541556e-01
8.005999999999994232e-01,6.843378342348220844e-01
8.006499999999994177e-01,6.820041343561682456e-01
8.006999999999994122e-01,6.796753489328831721e-01
8.007499999999992957e-01,6.773514728754486125e-01
8.007999999999992902e-01,6.750325010939418613e-01
8.008499999999991736e-01,6.727184284980384232e-01
8.008999999999991681e-01,6.704092499970165653e-01
8.009499999999991626e-01,6.681049604997620905e-01
8.009999999999990461e-01,6.658055549147682273e-01
8.010499999999990406e-01,6.635110281501436225e-01
8.010999999999990351e-01,6.612213751136130080e-01
8.011499999999989186e-01,6.589365907125219746e-01
8.011999999999989130e-01,6.566566698538415237e-01
8.012499999999989075e-01,6.543816074441688446e-01
8.012999999999987910e-01,6.521113983897345312e-01
8.013499999999987855e-01,6.498460375964034696e-01
8.013999999999987800e-01,6.475855199696798348e-01
8.014499999999986635e-01,6.453298404147105316e-01
8.014999999999986580e-01,6.430789938362887481e-01
8.015499999999985414e-01,6.408329751388578410e-01
8.015999999999985359e-01,6.385917792265152215e-01
8.016499999999985304e-01,6.363554010030139096e-01
8.016999999999984139e-01,6.341238353717700837e-01
8.017499999999984084e-01,6.318970772358627475e-01
8.017999999999984029e-01,6.296751214980406131e-01
8.018499999999982863e-01,6.274579630607236558e-01
8.018999999999982808e-01,6.252455968260077768e-01
8.019499999999982753e-01,6.230380176956682448e-01
8.019999999999981588e-01,6.208352205711634708e-01
8.020499999999981533e-01,6.186372003536385611e-01
8.020999999999980368e-01,6.164439519439284254e-01
8.021499999999980313e-01,6.142554702425639945e-01
8.021999999999980258e-01,6.120717501497723312e-01
8.022499999999979092e-01,6.098927865654824032e-01
8.022999999999979037e-01,6.077185743893286363e-01
8.023499999999978982e-01,6.055491085206538004e-01
8.023999999999977817e-01,6.033843838585148944e-01
8.024499999999977762e-01,6.012243953016835896e-01
8.024999999999977707e-01,5.990691377486527802e-01
8.025499999999976541e-01,5.969186060976376940e-01
8.025999999999976486e-01,5.947727952465831081e-01
8.026499999999976431e-01,5.926317000931634604e-01
8.026999999999975266e-01,5.904953155347888449e-01
8.027499999999975211e-01,5.883636364686077869e-01
8.027999999999974046e-01,5.862366577915120169e-01
8.028499999999973991e-01,5.841143744001375815e-01
8.028999999999973936e-01,5.819967811908718369e-01
8.029499999999972770e-01,5.798838730598557811e-01
8.029999999999972715e-01,5.777756449029872732e-01
8.030499999999972660e-01,5.756720916159253632e-01
8.030999999999971495e-01,5.735732080940939559e-01
8.031499999999971440e-01,5.714789892326858078e-01
8.031999999999971385e-01,5.693894299266651915e-01
8.032499999999970219e-01,5.673045250707731135e-01
8.032999999999970164e-01,5.652242695595305344e-01
8.033499999999968999e-01,5.631486582872419211e-01
8.033999999999968944e-01,5.610776861479987998e-01
8.034499999999968889e-01,5.590113480356833087e-01
8.034999999999967724e-01,5.569496388439744150e-01
8.035499999999967669e-01,5.548925534663473602e-01
8.035999999999967613e-01,5.528400867960809872e-01
8.036499999999966448e-01,5.507922337262604051e-01
8.036999999999966393e-01,5.487489891497798755e-01
8.037499999999966338e-01,5.467103479593484749e-01
8.037999999999965173e-01,5.446763050474922041e-01
8.038499999999965118e-01,5.426468553065585398e-01
8.038999999999965063e-01,5.406219936287188776e-01
8.039499999999963897e-01,5.386017149059756370e-01
8.039999999999963842e-01,5.365860140301629277e-01
8.040499999999962677e-01,5.345748858929503244e-01
8.040999999999962622e-01,5.325683253858481958e-01
8.041499999999962567e-01,5.305663274002117014e-01
8.041999999999961402e-01,5.285688868272433449e-01
8.042499999999961346e-01,5.265759985579969715e-01
8.042999999999961291e-01,5.245876574833825412e-01
8.043499999999960126e-01,5.226038584941685716e-01
8.043999999999960071e-01,5.206245964809862459e-01
8.044499999999960016e-01,5.186498663343354076e-01
8.044999999999958851e-01,5.166796629445847833e-01
8.045499999999958796e-01,5.147139812019789762e-01
8.045999999999957630e-01,5.127528159966399102e-01
8.046499999999957575e-01,5.107961622185716033e-01
8.046999999999957520e-01,5.088440147576649419e-01
8.047499999999956355e-01,5.068963685036996791e-01
8.047999999999956300e-01,5.049532183463500967e-01
8.048499999999956245e-01,5.030145591751874479e-01
8.048999999999955079e-01,5.010803858796837318e-01
8.049499999999955024e-01,4.991506933492172449e-01
8.049999999999954969e-01,4.972254764730747456e-01
8.050499999999953804e-01,4.953047301404557290e-01
8.050999999999953749e-01,4.933884492404756461e-01
8.051499999999953694e-01,4.914766286621728986e-01
8.051999999999952529e-01,4.895692632945070621e-01
8.052499999999952474e-01,4.876663480263686012e-01
8.052999999999951308e-01,4.857678777465783693e-01
8.053499999999951253e-01,4.838738473438942700e-01
8.053999999999951198e-01,4.819842517070130894e-01
8.054499999999950033e-01,4.800990857245757137e-01
8.054999999999949978e-01,4.782183442851707933e-01
8.055499999999949923e-01,4.763420222773382395e-01
8.055999999999948757e-01,4.744701145895732219e-01
8.056499999999948702e-01,4.726026161103297762e-01
8.056999999999948647e-01,4.707395217280255784e-01
8.057499999999947482e-01,4.688808263310447200e-01
8.057999999999947427e-01,4.670265248077425380e-01
8.058499999999946262e-01,4.651766120464485565e-01
8.058999999999946207e-01,4.633310829354715388e-01
8.059499999999946152e-01,4.614899323631015404e-01
8.059999999999944986e-01,4.596531552176164603e-01
8.060499999999944931e-01,4.578207463872835947e-01
8.060999999999944876e-01,4.559927007603641336e-01
8.061499999999943711e-01,4.541690132251183232e-01
8.061999999999943656e-01,4.523496786698071315e-01
8.062499999999943601e-01,4.505346919826981877e-01
8.062999999999942435e-01,4.487240480520692243e-01
8.063499999999942380e-01,4.469177417662112406e-01
8.063999999999942325e-01,4.451157680134324446e-01
8.064499999999941160e-01,4.433181216820629711e-01
8.064999999999941105e-01,4.415247976604584346e-01
8.065499999999939940e-01,4.397357908370037038e-01
8.065999999999939885e-01,4.379510961001169544e-01
8.066499999999939829e-01,4.361707083382537209e-01
8.066999999999938664e-01,4.343946224399106160e-01
8.067499999999938609e-01,4.326228332936293830e-01
8.067999999999938554e-01,4.308553357880001711e-01
8.068499999999937389e-01,4.290921248116664755e-01
8.068999999999937334e-01,4.273331952533296341e-01
