# wavelength (nm),transmission (I/F) 
8.000000000000000444e-01,8.353700330612600089e-01
8.000499999999999279e-01,8.353761476100810546e-01
8.000999999999999224e-01,8.353822621977685658e-01
8.001499999999999169e-01,8.353883768243236529e-01
8.001999999999998003e-01,8.353944914897456497e-01
8.002499999999997948e-01,8.354006061940355554e-01
8.002999999999996783e-01,8.354067209371933700e-01
8.003499999999996728e-01,8.354128357192183163e-01
8.003999999999996673e-01,8.354189505401121707e-01
8.004499999999995508e-01,8.354250653998738230e-01
8.004999999999995453e-01,8.354311802985046054e-01
8.005499999999995397e-01,8.354372952360041849e-01
8.005999999999994232e-01,8.354434102123721173e-01
8.006499999999994177e-01,8.354495252276098460e-01
8.006999999999994122e-01,8.354556402817164829e-01
8.007499999999992957e-01,8.354617553746932490e-01
8.007999999999992902e-01,8.354678705065392563e-01
8.008499999999991736e-01,8.354739856772558371e-01
8.008999999999991681e-01,8.354801008868428802e-01
8.009499999999991626e-01,8.354862161352994976e-01
8.009999999999990461e-01,8.354923314226275766e-01
8.010499999999990406e-01,8.354984467488257849e-01
8.010999999999990351e-01,8.355045621138960099e-01
8.011499999999989186e-01,8.355106775178372525e-01
8.011999999999989130e-01,8.355167929606495125e-01
8.012499999999989075e-01,8.355229084423340113e-01
8.012999999999987910e-01,8.355290239628898608e-01
8.013499999999987855e-01,8.355351395223183930e-01
8.013999999999987800e-01,8.355412551206193861e-01
8.014499999999986635e-01,8.355473707577921738e-01
8.014999999999986580e-01,8.355534864338386436e-01
8.015499999999985414e-01,8.355596021487571301e-01
8.015999999999985359e-01,8.355657179025496317e-01
8.016499999999985304e-01,8.355718336952155934e-01
8.016999999999984139e-01,8.355779495267542378e-01
8.017499999999984084e-01,8.355840653971675636e-01
8.017999999999984029e-01,8.355901813064542383e-01
8.018499999999982863e-01,8.355962972546158163e-01
8.018999999999982808e-01,8.356024132416518535e-01
8.019499999999982753e-01,8.356085292675616838e-01
8.019999999999981588e-01,8.356146453323471945e-01
8.020499999999981533e-01,8.356207614360071645e-01
8.020999999999980368e-01,8.356268775785429259e-01
8.021499999999980313e-01,8.356329937599535906e-01
8.021999999999980258e-01,8.356391099802406019e-01
8.022499999999979092e-01,8.356452262394036268e-01
8.022999999999979037e-01,8.356513425374421100e-01
8.023499999999978982e-01,8.356574588743574949e-01
8.023999999999977817e-01,8.356635752501486714e-01
8.024499999999977762e-01,8.356696916648174156e-01
8.024999999999977707e-01,8.356758081183630615e-01
8.025499999999976541e-01,8.356819246107852761e-01
8.025999999999976486e-01,8.356880411420855026e-01
8.026499999999976431e-01,8.356941577122625198e-01
8.026999999999975266e-01,8.357002743213182150e-01
8.027499999999975211e-01,8.357063909692518111e-01
8.027999999999974046e-01,8.357125076560629751e-01
8.028499999999973991e-01,8.357186243817531501e-01
8.028999999999973936e-01,8.357247411463213371e-01
8.029499999999972770e-01,8.357308579497690904e-01
8.029999999999972715e-01,8.357369747920959657e-01
8.030499999999972660e-01,8.357430916733011861e-01
8.030999999999971495e-01,8.357492085933868609e-01
8.031499999999971440e-01,8.357553255523514357e-01
8.031999999999971385e-01,8.357614425501964650e-01
8.032499999999970219e-01,8.357675595869209495e-01
8.032999999999970164e-01,8.357736766625265545e-01
8.033499999999968999e-01,8.357797937770127250e-01
8.033999999999968944e-01,8.357859109303787948e-01
8.034499999999968889e-01,8.357920281226264292e-01
8.034999999999967724e-01,8.357981453537547401e-01
8.035499999999967669e-01,8.358042626237649486e-01
8.035999999999967613e-01,8.358103799326568328e-01
8.036499999999966448e-01,8.358164972804297266e-01
8.036999999999966393e-01,8.358226146670852952e-01
8.037499999999966338e-01,8.358287320926224284e-01
8.037999999999965173e-01,8.358348495570426806e-01
8.038499999999965118e-01,8.358409670603454966e-01
8.038999999999965063e-01,8.358470846025304324e-01
8.039499999999963897e-01,8.358532021835990422e-01
8.039999999999963842e-01,8.358593198035504379e-01
8.040499999999962677e-01,8.358654374623859518e-01
8.040999999999962622e-01,8.358715551601049176e-01
8.041499999999962567e-01,8.358776728967072245e-01
8.041999999999961402e-01,8.358837906721943156e-01
8.042499999999961346e-01,8.358899084865648588e-01
8.042999999999961291e-01,8.358960263398208523e-01
8.043499999999960126e-01,8.359021442319612971e-01
8.043999999999960071e-01,8.359082621629860821e-01
8.044499999999960016e-01,8.359143801328968726e-01
8.044999999999958851e-01,8.359204981416921143e-01
8.045499999999958796e-01,8.359266161893736946e-01
8.045999999999957630e-01,8.359327342759402812e-01
8.046499999999957575e-01,8.359388524013936506e-01
8.046999999999957520e-01,8.359449705657331364e-01
8.047499999999956355e-01,8.359510887689582948e-01
8.047999999999956300e-01,8.359572070110706798e-01
8.048499999999956245e-01,8.359633252920694035e-01
8.048999999999955079e-01,8.359694436119557981e-01
8.049499999999955024e-01,8.359755619707293084e-01
8.049999999999954969e-01,8.359816803683896014e-01
8.050499999999953804e-01,8.359877988049382314e-01
8.050999999999953749e-01,8.359939172803739771e-01
8.051499999999953694e-01,8.360000357946987259e-01
8.051999999999952529e-01,8.360061543479114787e-01
8.052499999999952474e-01,8.360122729400122354e-01
8.052999999999951308e-01,8.360183915710023284e-01
8.053499999999951253e-01,8.360245102408805362e-01
8.053999999999951198e-01,8.360306289496486354e-01
8.054499999999950033e-01,8.360367476973060707e-01
8.054999999999949978e-01,8.360428664838523982e-01
