# wavelength (nm),transmission (I/F) 
8.000000000000000444e-01,4.982280912257212035e-01
8.000499999999999279e-01,4.982411201663806133e-01
8.000999999999999224e-01,4.982541494017111994e-01
8.001499999999999169e-01,4.982671789317169031e-01
8.001999999999998003e-01,4.982802087564053850e-01
8.002499999999997948e-01,4.982932388757806419e-01
8.002999999999996783e-01,4.983062692898491131e-01
8.003499999999996728e-01,4.983192999986161276e-01
8.003999999999996673e-01,4.983323310020876251e-01
8.004499999999995508e-01,4.983453623002688238e-01
8.004999999999995453e-01,4.983583938931656632e-01
8.005499999999995397e-01,4.983714257807836390e-01
8.005999999999994232e-01,4.983844579631284133e-01
8.006499999999994177e-01,4.983974904402054817e-01
8.006999999999994122e-01,4.984105232120206175e-01
8.007499999999992957e-01,4.984235562785793716e-01
8.007999999999992902e-01,4.984365896398875173e-01
8.008499999999991736e-01,4.984496232959506057e-01
8.008999999999991681e-01,4.984626572467740213e-01
8.009499999999991626e-01,4.984756914923637039e-01
8.009999999999990461e-01,4.984887260327250935e-01
8.010499999999990406e-01,4.985017608678638523e-01
8.010999999999990351e-01,4.985147959977856980e-01
8.011499999999989186e-01,4.985278314224962926e-01
8.011999999999989130e-01,4.985408671420010207e-01
8.012499999999989075e-01,4.985539031563056001e-01
8.012999999999987910e-01,4.985669394654158038e-01
8.013499999999987855e-01,4.985799760693370164e-01
8.013999999999987800e-01,4.985930129680751777e-01
8.014499999999986635e-01,4.986060501616356722e-01
8.014999999999986580e-01,4.986190876500241065e-01
8.015499999999985414e-01,4.986321254332463093e-01
8.015999999999985359e-01,4.986451635113076652e-01
8.016499999999985304e-01,4.986582018842140029e-01
8.016999999999984139e-01,4.986712405519709290e-01
8.017499999999984084e-01,4.986842795145842722e-01
8.017999999999984029e-01,4.986973187720586398e-01
8.018499999999982863e-01,4.987103583244012484e-01
8.018999999999982808e-01,4.987233981716163167e-01
8.019499999999982753e-01,4.987364383137103951e-01
8.019999999999981588e-01,4.987494787506884242e-01
8.020499999999981533e-01,4.987625194825564545e-01
8.020999999999980368e-01,4.987755605093199818e-01
8.021499999999980313e-01,4.987886018309847236e-01
8.021999999999980258e-01,4.988016434475563421e-01
8.022499999999979092e-01,4.988146853590403329e-01
8.022999999999979037e-01,4.988277275654422471e-01
8.023499999999978982e-01,4.988407700667678579e-01
8.023999999999977817e-01,4.988538128630228274e-01
8.024499999999977762e-01,4.988668559542127068e-01
8.024999999999977707e-01,4.988798993403431026e-01
8.025499999999976541e-01,4.988929430214196770e-01
8.025999999999976486e-01,4.989059869974480921e-01
8.026499999999976431e-01,4.989190312684338990e-01
8.026999999999975266e-01,4.989320758343828155e-01
8.027499999999975211e-01,4.989451206953003926e-01
8.027999999999974046e-01,4.989581658511922369e-01
8.028499999999973991e-01,4.989712113020641215e-01
8.028999999999973936e-01,4.989842570479215422e-01
8.029499999999972770e-01,4.989973030887701055e-01
8.029999999999972715e-01,4.990103494246155846e-01
8.030499999999972660e-01,4.990233960554635306e-01
8.030999999999971495e-01,4.990364429813193281e-01
8.031499999999971440e-01,4.990494902021890833e-01
8.031999999999971385e-01,4.990625377180781252e-01
8.032499999999970219e-01,4.990755855289920606e-01
8.032999999999970164e-01,4.990886336349367181e-01
8.033499999999968999e-01,4.991016820359174821e-01
8.033999999999968944e-01,4.991147307319400706e-01
8.034499999999968889e-01,4.991277797230102564e-01
8.034999999999967724e-01,4.991408290091339794e-01
8.035499999999967669e-01,4.991538785903160691e-01
8.035999999999967613e-01,4.991669284665623540e-01
8.036499999999966448e-01,4.991799786378787740e-01
8.036999999999966393e-01,4.991930291042707135e-01
8.037499999999966338e-01,4.992060798657440013e-01
8.037999999999965173e-01,4.992191309223041329e-01
8.038499999999965118e-01,4.992321822739567150e-01
8.038999999999965063e-01,4.992452339207075762e-01
8.039499999999963897e-01,4.992582858625621567e-01
8.039999999999963842e-01,4.992713380995261740e-01
8.040499999999962677e-01,4.992843906316051794e-01
8.040999999999962622e-01,4.992974434588050014e-01
8.041499999999962567e-01,4.993104965811309137e-01
8.041999999999961402e-01,4.993235499985888004e-01
8.042499999999961346e-01,4.993366037111843792e-01
8.042999999999961291e-01,4.993496577189229790e-01
8.043499999999960126e-01,4.993627120218104842e-01
8.043999999999960071e-01,4.993757666198523348e-01
8.044499999999960016e-01,4.993888215130543595e-01
8.044999999999958851e-01,4.994018767014221094e-01
8.045499999999958796e-01,4.994149321849612466e-01
8.045999999999957630e-01,4.994279879636772113e-01
8.046499999999957575e-01,4.994410440375758875e-01
8.046999999999957520e-01,4.994541004066626599e-01
8.047499999999956355e-01,4.994671570709434683e-01
8.047999999999956300e-01,4.994802140304237525e-01
8.048499999999956245e-01,4.994932712851090639e-01
8.048999999999955079e-01,4.995063288350051200e-01
8.049499999999955024e-01,4.995193866801176941e-01
8.049999999999954969e-01,4.995324448204521151e-01
8.050499999999953804e-01,4.995455032560143782e-01
8.050999999999953749e-01,4.995585619868099236e-01
8.051499999999953694e-01,4.995716210128446355e-01
8.051999999999952529e-01,4.995846803341236209e-01
8.052499999999952474e-01,4.995977399506527639e-01
8.052999999999951308e-01,4.996107998624377822e-01
8.053499999999951253e-01,4.996238600694840049e-01
8.053999999999951198e-01,4.996369205717975936e-01
8.054499999999950033e-01,4.996499813693837111e-01
8.054999999999949978e-01,4.996630424622481859e-01
8.055499999999949923e-01,4.996761038503967356e-01
8.055999999999948757e-01,4.996891655338347449e-01
8.056499999999948702e-01,4.997022275125680424e-01
8.056999999999948647e-01,4.997152897866022903e-01
8.057499999999947482e-01,4.997283523559430951e-01
8.057999999999947427e-01,4.997414152205958970e-01
8.058499999999946262e-01,4.997544783805665247e-01
8.058999999999946207e-01,4.997675418358605848e-01
