Wavelength(um),
0.97,0.83
0.972,0.59
0.974,0.58
0.976,0.82
0.978,0.68
0.98,0.47
0.982,0.78
0.984,0.76
0.986,0.43
0.988,0.70
0.99,0.82
0.992,0.56
0.994,0.58
0.996,0.82
0.998,0.70
1,0.43
1.002,0.75
1.004,0.79
1.006,0.51
1.008,0.62
1.01,0.82
1.012,0.67
1.014,0.45
1.016,0.75
1.018,0.79
1.02,0.53
1.022,0.60
1.024,0.81
1.026,0.71
1.028,0.39
1.03,0.71
1.032,0.81
1.034,0.61
1.036,0.51
1.038,0.78
1.04,0.78
1.042,0.51
1.044,0.60
1.046,0.81
1.048,0.72
1.05,0.43
1.052,0.67
1.054,0.82
1.056,0.68
1.058,0.41
1.06,0.71
1.062,0.81
1.064,0.64
1.066,0.45
1.068,0.73
1.07,0.81
1.072,0.62
1.074,0.48
1.076,0.75
1.078,0.81
1.08,0.61
1.082,0.48
1.084,0.74
1.086,0.81
1.088,0.62
1.09,0.47
1.092,0.73
1.094,0.81
1.096,0.65
1.098,0.43
1.1,0.71
1.102,0.82
1.104,0.68
1.106,0.40
1.108,0.67
1.11,0.81
1.112,0.73
1.114,0.47
1.116,0.61
1.118,0.80
1.12,0.78
1.122,0.55
1.124,0.53
1.126,0.76
1.128,0.81
1.13,0.65
1.132,0.42
1.134,0.69
1.136,0.82
1.138,0.74
1.14,0.50
1.142,0.57
1.144,0.78
1.146,0.81
1.148,0.63
1.15,0.43
1.152,0.69
1.154,0.82
1.156,0.75
1.158,0.52
1.16,0.55
1.162,0.76
1.164,0.82
1.166,0.68
1.168,0.42
1.17,0.63
1.172,0.80
1.174,0.80
1.176,0.61
1.178,0.44
1.18,0.68
1.182,0.82
1.184,0.77
1.186,0.56
1.188,0.49
1.19,0.72
1.192,0.83
1.194,0.74
1.196,0.53
1.198,0.52
1.2,0.73
1.202,0.83
1.204,0.73
1.206,0.52
1.208,0.52
1.21,0.73
1.212,0.83
1.214,0.74
1.216,0.53
1.218,0.51
1.22,0.72
1.222,0.83
1.224,0.75
1.226,0.56
1.228,0.47
1.23,0.69
1.232,0.82
1.234,0.78
1.236,0.60
1.238,0.42
1.24,0.65
1.242,0.81
1.244,0.81
1.246,0.66
1.248,0.44
1.25,0.58
1.252,0.76
1.254,0.82
1.256,0.73
1.258,0.53
1.26,0.48
1.262,0.69
1.264,0.82
1.266,0.79
1.268,0.63
1.27,0.41
1.272,0.59
1.274,0.78
1.276,0.82
1.278,0.73
1.28,0.54
1.282,0.46
1.284,0.67
1.286,0.81
1.288,0.80
1.29,0.68
1.292,0.47
1.294,0.53
1.296,0.72
1.298,0.82
1.3,0.78
1.302,0.63
1.304,0.43
1.306,0.57
1.308,0.75
1.31,0.82
1.312,0.77
1.314,0.61
1.316,0.41
1.318,0.58
1.32,0.76
1.322,0.82
1.324,0.76
1.326,0.61
1.328,0.41
1.33,0.58
1.332,0.75
1.334,0.82
1.336,0.77
1.338,0.62
1.34,0.43
1.342,0.55
1.344,0.73
1.346,0.81
1.348,0.78
1.35,0.66
1.352,0.47
1.354,0.50
1.356,0.70
1.358,0.80
1.36,0.80
1.362,0.71
1.364,0.54
1.366,0.44
1.368,0.63
1.37,0.77
1.372,0.81
1.374,0.76
1.376,0.62
1.378,0.43
1.38,0.54
1.382,0.71
1.384,0.80
1.386,0.80
1.388,0.70
1.39,0.54
1.392,0.42
1.394,0.61
1.396,0.75
1.398,0.81
1.4,0.77
1.402,0.66
1.404,0.49
1.406,0.48
1.408,0.66
1.41,0.77
1.412,0.81
1.414,0.76
1.416,0.63
1.418,0.46
1.42,0.50
1.422,0.68
1.424,0.78
1.426,0.81
1.428,0.75
1.43,0.62
1.432,0.45
1.434,0.50
1.436,0.67
1.438,0.78
1.44,0.81
1.442,0.75
1.444,0.63
1.446,0.47
1.448,0.48
1.45,0.65
1.452,0.76
1.454,0.81
1.456,0.77
1.458,0.67
1.46,0.51
1.462,0.43
1.464,0.61
1.466,0.73
1.468,0.80
1.47,0.79
1.472,0.71
1.474,0.57
1.476,0.41
1.478,0.54
1.48,0.68
1.482,0.77
1.484,0.80
1.486,0.76
1.488,0.65
1.49,0.50
1.492,0.44
1.494,0.60
1.496,0.72
1.498,0.79
1.5,0.79
1.502,0.73
1.504,0.60
1.506,0.45
1.508,0.49
1.51,0.63
1.512,0.74
1.514,0.79
1.516,0.78
1.518,0.71
1.52,0.58
