# wavelength (nm),transmission (I/F) 
9.200000000000000000e+02,0.000000000000000000e+00
9.201000000000000227e+02,0.000000000000000000e+00
9.202000000000000455e+02,0.000000000000000000e+00
9.203000000000000682e+02,0.000000000000000000e+00
9.204000000000000909e+02,0.000000000000000000e+00
9.205000000000001137e+02,0.000000000000000000e+00
9.206000000000001364e+02,0.000000000000000000e+00
9.207000000000001592e+02,0.000000000000000000e+00
9.208000000000001819e+02,0.000000000000000000e+00
9.209000000000002046e+02,0.000000000000000000e+00
9.210000000000002274e+02,0.000000000000000000e+00
9.211000000000002501e+02,0.000000000000000000e+00
9.212000000000002728e+02,0.000000000000000000e+00
9.213000000000002956e+02,0.000000000000000000e+00
9.214000000000003183e+02,0.000000000000000000e+00
9.215000000000003411e+02,0.000000000000000000e+00
9.216000000000003638e+02,0.000000000000000000e+00
9.217000000000003865e+02,0.000000000000000000e+00
9.218000000000004093e+02,0.000000000000000000e+00
9.219000000000004320e+02,0.000000000000000000e+00
9.220000000000004547e+02,0.000000000000000000e+00
9.221000000000004775e+02,0.000000000000000000e+00
9.222000000000005002e+02,0.000000000000000000e+00
9.223000000000005230e+02,0.000000000000000000e+00
9.224000000000005457e+02,0.000000000000000000e+00
9.225000000000005684e+02,0.000000000000000000e+00
9.226000000000005912e+02,0.000000000000000000e+00
9.227000000000006139e+02,0.000000000000000000e+00
9.228000000000006366e+02,0.000000000000000000e+00
9.229000000000006594e+02,0.000000000000000000e+00
9.230000000000006821e+02,0.000000000000000000e+00
9.231000000000007049e+02,0.000000000000000000e+00
9.232000000000007276e+02,0.000000000000000000e+00
9.233000000000007503e+02,0.000000000000000000e+00
9.234000000000007731e+02,0.000000000000000000e+00
9.235000000000007958e+02,0.000000000000000000e+00
9.236000000000008185e+02,0.000000000000000000e+00
9.237000000000008413e+02,0.000000000000000000e+00
9.238000000000008640e+02,0.000000000000000000e+00
9.239000000000008868e+02,0.000000000000000000e+00
9.240000000000009095e+02,0.000000000000000000e+00
9.241000000000009322e+02,0.000000000000000000e+00
9.242000000000009550e+02,0.000000000000000000e+00
9.243000000000009777e+02,0.000000000000000000e+00
9.244000000000010004e+02,0.000000000000000000e+00
9.245000000000010232e+02,0.000000000000000000e+00
9.246000000000010459e+02,0.000000000000000000e+00
9.247000000000010687e+02,0.000000000000000000e+00
9.248000000000010914e+02,0.000000000000000000e+00
9.249000000000011141e+02,0.000000000000000000e+00
9.250000000000011369e+02,0.000000000000000000e+00
9.251000000000011596e+02,0.000000000000000000e+00
9.252000000000011823e+02,0.000000000000000000e+00
9.253000000000012051e+02,0.000000000000000000e+00
9.254000000000012278e+02,0.000000000000000000e+00
9.255000000000012506e+02,0.000000000000000000e+00
9.256000000000012733e+02,0.000000000000000000e+00
9.257000000000012960e+02,0.000000000000000000e+00
9.258000000000013188e+02,0.000000000000000000e+00
9.259000000000013415e+02,0.000000000000000000e+00
9.260000000000013642e+02,0.000000000000000000e+00
