separation_lambda_over_D,coupling_efficiency
0,9.85969240872292e-07
0.005,1.78046276816551e-05
0.01,6.82557846613556e-05
0.015,0.000152324986797582
0.02,0.000269988150607478
0.025,0.000421211570733685
0.03,0.000605951931463932
0.035,0.000824156321524308
0.04,0.0010757622521534
0.045,0.0013606976784482
0.05,0.00167888102396136
0.055,0.00203022120855849
0.06,0.00241461767950941
0.065,0.00283196044581145
0.07,0.00328213011571746
0.075,0.00376499793747016
0.08,0.00428042584321001
0.085,0.00482826649606532
0.09,0.00540836334035675
0.095,0.00602055065496673
0.1,0.00666465360977583
0.105,0.00734048832519535
0.11,0.0080478619347822
0.115,0.00878657265082949
0.12,0.00955640983302708
0.125,0.0103571540600571
0.13,0.0111885772041577
0.135,0.0120504425085994
0.14,0.012942504668078
0.145,0.0138645099119109
0.15,0.0148161960901134
0.155,0.0157972927622587
0.16,0.0168075212890386
0.165,0.0178465949266058
0.17,0.0189142189235785
0.175,0.0200100906206846
0.18,0.0211338995529846
0.185,0.0222853275547038
0.19,0.0234640488665667
0.195,0.024669730245581
0.2,0.0259020310773017
0.205,0.0271606034904681
0.21,0.0284450924739526
0.215,0.029755135996084
0.22,0.0310903651261729
0.225,0.0324504041581828
0.23,0.0338348707367076
0.235,0.0352433759849382
0.24,0.0366755246346862
0.245,0.0381309151584603
0.25,0.0396091399034731
0.255,0.0411097852275608
0.26,0.0426324316369471
0.265,0.0441766539257183
0.27,0.0457420213172306
0.275,0.0473280976069393
0.28,0.0489344413071088
0.285,0.0505606057929368
0.29,0.0522061394501807
0.295,0.0538705858243782
0.3,0.0555534837713439
0.305,0.0572543676089959
0.31,0.0589727672706113
0.315,0.060708208459083
0.32,0.0624602128025409
0.325,0.0642282980109566
0.33,0.0660119780338214
0.335,0.0678107632188102
0.34,0.0696241604713479
0.345,0.0714516734150843
0.35,0.0732928025530485
0.355,0.0751470454296911
0.36,0.0770138967935139
0.365,0.0788928487602788
0.37,0.0807833909768352
0.375,0.0826850107854119
0.38,0.0845971933883224
0.385,0.086519422012996
0.39,0.0884511780774028
0.395,0.090391941355641
0.4,0.0923411901436985
0.405,0.0942984014254087
0.41,0.0962630510382155
0.415,0.0982346138393821
0.42,0.100212563871586
0.425,0.102196374528782
0.43,0.104185518721631
0.435,0.106179469042878
0.44,0.1081776979321
0.445,0.110179677840533
0.45,0.112184881394876
0.455,0.114192781561115
0.46,0.116202851807507
0.465,0.118214566267056
0.47,0.120227399899099
0.475,0.122240828650465
0.48,0.124254329615615
0.485,0.12626738119598
0.49,0.128279463258499
0.495,0.130290057292906
0.5,0.132298646568223
0.505,0.134304716288219
0.51,0.136307753745484
0.515,0.138307248474563
0.52,0.140302692403612
0.525,0.142293580004914
0.53,0.144279408444115
0.535,0.146259677727764
0.54,0.148233890849615
0.545,0.150201553935495
0.55,0.152162176386331
0.555,0.154115271019948
0.56,0.156060354210721
0.565,0.157996946028178
0.57,0.159924570373182
0.575,0.161842755112721
0.58,0.163751032212866
0.585,0.165648937869639
0.59,0.167536012638105
0.595,0.169411801559525
0.6,0.171275854286314
0.605,0.173127725205194
0.61,0.174966973558069
0.615,0.176793163560841
0.62,0.178605864520104
0.625,0.180404650947736
0.63,0.182189102672721
0.635,0.183958804951656
0.64,0.185713348575991
0.645,0.187452329977444
0.65,0.189175351331178
0.655,0.190882020656049
0.66,0.192571951912932
0.665,0.194244765100371
0.67,0.195900086347868
0.675,0.197537548006428
0.68,0.199156788736804
0.685,0.20075745359528
0.69,0.202339194116387
0.695,0.20390166839376
0.7,0.205444541157666
0.705,0.206967483850326
0.71,0.20847017469854
0.715,0.209952298783491
0.72,0.211413548107903
0.725,0.212853621660757
0.73,0.214272225478756
0.735,0.215669072705718
0.74,0.217043883648797
0.745,0.218396385831914
0.75,0.219726314046924
0.755,0.221033410401443
0.76,0.222317424364233
0.765,0.223578112807798
0.77,0.22481524004815
0.775,0.226028577881797
0.78,0.227217905619919
0.785,0.228383010119855
0.79,0.229523685813894
0.795,0.230639734734796
0.8,0.231730966539399
0.805,0.232797198528519
0.81,0.233838255665009
0.815,0.234853970587991
0.82,0.235844183625517
0.825,0.236808742803521
0.83,0.237747503852763
0.835,0.238660330212319
0.84,0.239547093031181
0.845,0.240407671166355
0.85,0.241241951179085
0.855,0.242049827327574
0.86,0.242831201557836
0.865,0.243585983491303
0.87,0.244314090410266
0.875,0.245015447240473
0.88,0.24568998653106
0.885,0.24633764843228
0.89,0.246958380670447
0.895,0.247552138520323
0.9,0.248118884775196
0.905,0.248658589714611
0.91,0.249171231069031
0.915,0.24965679398288
0.92,0.250115270974888
0.925,0.250546661895769
0.93,0.25095097388423
0.935,0.251328221320059
0.94,0.251678425775305
0.945,0.252001615963204
0.95,0.252297827684758
0.955,0.252567103773255
0.96,0.252809494036684
0.965,0.253025055198075
0.97,0.25321385083345
0.975,0.253375951308268
0.98,0.253511433711588
0.985,0.253620381788309
0.99,0.253702885869399
0.995,0.253759042800401
1,0.253788955868288
1.005,0.253792734726072
1.01,0.253770495315609
1.015,0.253722359789852
1.02,0.253648456431481
1.025,0.253548919571664
1.03,0.253423889506144
1.035,0.253273512410475
1.04,0.253097940253218
1.045,0.252897330707846
1.05,0.252671847063513
1.055,0.252421658133921
1.06,0.252146938165367
1.065,0.251847866743272
1.07,0.251524628697165
1.075,0.251177414005367
1.08,0.250806417697341
1.085,0.250411839755994
1.09,0.249993885018247
1.095,0.249552763074761
1.1,0.249088688168904
1.105,0.248601879094742
1.11,0.248092559093515
1.115,0.247560955750608
1.12,0.247007300890284
1.125,0.246431830470808
1.13,0.245834784478143
1.135,0.245216406819424
1.14,0.244576945215711
1.145,0.243916651094142
1.15,0.243235779479663
1.155,0.242534588886284
1.16,0.241813341207842
1.165,0.24107230160851
1.17,0.240311738413024
1.175,0.239531922996394
1.18,0.238733129673765
1.185,0.237915635589627
1.19,0.237079720607502
1.195,0.236225667198749
1.2,0.235353760332179
1.205,0.234464287363065
1.21,0.233557537922285
1.215,0.23263380380592
1.22,0.231693378864457
1.225,0.230736558892373
1.23,0.229763641518488
1.235,0.228774926095362
1.24,0.227770713590172
1.245,0.226751306475281
1.25,0.225717008619394
1.255,0.224668125179123
1.26,0.223604962491041
1.265,0.222527827963983
