# Charge-2 vortex fiber nuller coupling vs. separation (azimuthal average)
# Generated: 2026-08-31 13:14:03
#
# Band                    : K (red channel)
# Band edges [nm]         : 1990.0 - 2460.0
# Central wavelength [nm] : 2225.0
# Fractional bandwidth    : 0.2112
# Num. wavelengths        : 1
# Wavelength of this cut  : 2225.0 nm
#
# Pupil                   : Keck
# Pupil diameter [mm]     : 13.1400
# F/#                     : 2.580
# Focal length [mm]       : 33.9012
#
# Fiber type              : bessel
# Fiber core radius [um]  : 2.750
# Fiber NA                : 0.230
#
# Mask type               : vortex
# Vortex charge           : 2
# Phase scale factor      : 1.000000 (1 = achromatic)
# Vortex offset [samp]    : X = 0, Y = 0
# Zernike nolls           : [4 5 6 7 8]
# Zernike coeffs [waves]  : [0 0 0 0 0]
#
# Grid size N             : 1024
# Aperture radius [samp]  : 508
# Image samp [samp/lam0F#]: 400
# Image FOV [lam0/D]      : 10
#
# On-axis (null) coupling : 3.953414e-07
#
# Column 1: separation [lambda0/D]
# Column 2: coupling efficiency [fractional, not percent]
separation_lambda0_over_D,coupling_efficiency
0,3.95546722e-07
0.002501251251,3.955525063e-07
0.005002502503,3.956358138e-07
0.007503753754,3.959795175e-07
0.01000500501,3.968882616e-07
0.01250625626,3.987886642e-07
0.01500750751,4.022288459e-07
0.01750875876,4.078786474e-07
0.02001001001,4.165285436e-07
0.02251126126,4.290937892e-07
0.02501251251,4.466051136e-07
0.02751376376,4.702195721e-07
0.03001501502,5.012163777e-07
0.03251626627,5.409831069e-07
0.03501751752,5.910369263e-07
0.03751876877,6.530310769e-07
0.04002002002,7.287072989e-07
0.04252127127,8.199431819e-07
0.04502252252,9.287547477e-07
0.04752377377,1.057228593e-06
0.05002502503,1.207636306e-06
0.05252627628,1.382285255e-06
0.05502752753,1.583651508e-06
0.05752877878,1.814383269e-06
0.06003003003,2.077100648e-06
0.06253128128,2.374670699e-06
0.06503253253,2.71003381e-06
0.06753378378,3.086289398e-06
0.07003503504,3.506503845e-06
0.07253628629,3.973998709e-06
0.07503753754,4.492275408e-06
0.07753878879,5.064684501e-06
0.08004004004,5.694884127e-06
0.08254129129,6.386703012e-06
0.08504254254,7.144031709e-06
0.08754379379,7.970624074e-06
0.09004504505,8.870974221e-06
0.0925462963,9.848746417e-06
0.09504754755,1.090839523e-05
0.0975487988,1.205440385e-05
0.1000500501,1.329135753e-05
0.1025513013,1.462352296e-05
0.1050525526,1.605631271e-05
0.1075538038,1.759384501e-05
0.1100550551,1.924162118e-05
0.1125563063,2.100394895e-05
0.1150575576,2.288657842e-05
0.1175588088,2.489456659e-05
0.1200600601,2.70338072e-05
0.1225613113,2.930860835e-05
0.1250625626,3.172517094e-05
0.1275638138,3.428964244e-05
0.1300650651,3.700663341e-05
0.1325663163,3.988294337e-05
0.1350675676,4.292421175e-05
0.1375688188,4.613605802e-05
0.1400700701,4.952468004e-05
0.1425713213,5.309716149e-05
0.1450725726,5.685848215e-05
0.1475738238,6.08173855e-05
0.1500750751,6.497925062e-05
0.1525763263,6.934878601e-05
0.1550775776,7.393355039e-05
0.1575788288,7.874323746e-05
0.1600800801,8.377800368e-05
0.1625813313,8.905485292e-05
0.1650825826,9.456968264e-05
0.1675838338,0.0001003399215
0.1700850851,0.0001063621962
0.1725863363,0.0001126554043
0.1750875876,0.0001192154183
0.1775888388,0.0001260611958
0.1800900901,0.0001331892788
0.1825913413,0.0001406129553
0.1850925926,0.0001483418984
0.1875938438,0.0001563757969
0.1900950951,0.0001647320087
0.1925963463,0.0001734141057
0.1950975976,0.0001824262986
0.1975988488,0.0001917835539
0.2001001001,0.000201491179
0.2026013514,0.0002115528758
0.2051026026,0.0002219809493
0.2076038539,0.0002327895065
0.2101051051,0.0002439770118
0.2126063564,0.0002555531288
0.2151076076,0.0002675317415
0.2176088589,0.0002799219641
0.2201101101,0.0002927239046
0.2226113614,0.0003059487382
0.2251126126,0.0003196116283
0.2276138639,0.0003337201258
0.2301151151,0.0003482760935
0.2326163664,0.0003632910556
0.2351176176,0.0003787754755
0.2376188689,0.0003947426754
0.2401201201,0.0004111957294
0.2426213714,0.0004281427001
0.2451226226,0.0004455926473
0.2476238739,0.0004635564089
0.2501251251,0.0004820478447
0.2526263764,0.0005010733908
0.2551276276,0.0005206381499
0.2576288789,0.0005407514875
0.2601301301,0.0005614240334
0.2626313814,0.0005826668706
0.2651326326,0.0006044929751
0.2676338839,0.0006269080969
0.2701351351,0.000649917693
0.2726363864,0.0006735337282
0.2751376376,0.0006977639257
0.2776388889,0.0007226200651
0.2801401401,0.0007481112312
0.2826413914,0.0007742541355
0.2851426426,0.000801048598
0.2876438939,0.0008285028079
0.2901451451,0.0008566331235
0.2926463964,0.000885447582
0.2951476476,0.0009149526535
0.2976488989,0.000945159156
0.3001501502,0.0009760737367
0.3026514014,0.001007722597
0.3051526527,0.001040099695
0.3076539039,0.00107320491
0.3101551552,0.001107073047
0.3126564064,0.001141692479
0.3151576577,0.001177079322
0.3176589089,0.001213251725
0.3201601602,0.001250201376
0.3226614114,0.001287963629
0.3251626627,0.001326524963
0.3276639139,0.001365914899
0.3301651652,0.001406117256
0.3326664164,0.001447167593
0.3351676677,0.001489049514
0.3376689189,0.001531799155
0.3401701702,0.001575400039
0.3426714214,0.001619887562
0.3451726727,0.001665247883
0.3476739239,0.001711511885
0.3501751752,0.00175867674
0.3526764264,0.001806754443
0.3551776777,0.001855755848
0.3576789289,0.001905675911
0.3601801802,0.001956548233
0.3626814314,0.002008361166
0.3651826827,0.002061133782
0.3676839339,0.002114874181
0.3701851852,0.002169585783
0.3726864364,0.002225288571
0.3751876877,0.002281987392
0.3776889389,0.002339681267
0.3801901902,0.002398400695
0.3826914414,0.002458141834
0.3851926927,0.002518903075
0.3876939439,0.002580716835
0.3901951952,0.002643569135
0.3926964464,0.002707473646
0.3951976977,0.00277245583
0.3976989489,0.002838504983
0.4002002002,0.00290562934
0.4027014515,0.002973852534
0.4052027027,0.003043177696
0.407703954,0.003113602348
0.4102052052,0.003185142299
0.4127064565,0.003257820516
0.4152077077,0.003331623684
0.417708959,0.003406563549
0.4202102102,0.003482660102
0.4227114615,0.003559920552
0.4252127127,0.003638334447
0.427713964,0.003717915404
0.4302152152,0.003798685848
0.4327164665,0.003880648843
0.4352177177,0.003963799348
0.437718969,0.004048152541
0.4402202202,0.004133724086
0.4427214715,0.004220510004
0.4452227227,0.004308506143
0.447723974,0.004397746013
0.4502252252,0.004488229348
0.4527264765,0.004579955335
0.4552277277,0.004672932789
0.457728979,0.004767173337
0.4602302302,0.004862667894
0.4627314815,0.004959458888
0.4652327327,0.005057529286
0.467733984,0.005156867413
0.4702352352,0.005257512986
0.4727364865,0.00535944592
0.4752377377,0.005462702993
0.477738989,0.005567267491
0.4802402402,0.005673129461
0.4827414915,0.005780330067
0.4852427427,0.005888843596
0.487743994,0.005998721219
0.4902452452,0.006109914406
0.4927464965,0.006222463799
0.4952477477,0.006336343914
0.497748999,0.006451603331
0.5002502503,0.006568209982
0.5027515015,0.006686204533
0.5052527528,0.006805544149
0.507754004,0.006926275514
0.5102552553,0.00704836697
0.5127565065,0.007171863889
0.5152577578,0.007296747516
0.517759009,0.007423026412
0.5202602603,0.00755069479
0.5227615115,0.007679762667
0.5252627628,0.00781024485
0.527764014,0.007942124087
0.5302652653,0.008075440614
0.5327665165,0.008210158216
0.5352677678,0.008346296949
0.537769019,0.008483854398
0.5402702703,0.008622828767
0.5427715215,0.008763253807
0.5452727728,0.00890509376
0.547774024,0.009048383686
0.5502752753,0.00919310423
0.5527765265,0.00933925264
0.5552777778,0.00948685814
0.557779029,0.009635897677
0.5602802803,0.009786376011
0.5627815315,0.009938327289
0.5652827828,0.01009171564
0.567784034,0.01024654717
0.5702852853,0.01040284985
0.5727865365,0.01056058269
0.5752877878,0.01071977719
0.577789039,0.01088044194
0.5802902903,0.01104255897
0.5827915415,0.01120614166
0.5852927928,0.01137119012
0.587794044,0.01153767613
0.5902952953,0.01170561429
0.5927965465,0.0118750468
0.5952977978,0.01204591955
0.597799049,0.01221823845
0.6003003003,0.01239203874
0.6028015516,0.01256730683
0.6053028028,0.01274401916
0.6078040541,0.01292218693
0.6103053053,0.01310182725
0.6128065566,0.01328290935
0.6153078078,0.01346543283
0.6178090591,0.01364944448
0.6203103103,0.01383488117
0.6228115616,0.01402177321
0.6253128128,0.01421013546
0.6278140641,0.01439992822
0.6303153153,0.01459117445
0.6328165666,0.01478384317
0.6353178178,0.01497797582
0.6378190691,0.01517353414
0.6403203203,0.0153705234
0.6428215716,0.01556894983
0.6453228228,0.01576880519
0.6478240741,0.01597010836
0.6503253253,0.0161728079
0.6528265766,0.01637694424
0.6553278278,0.01658248333
0.6578290791,0.0167894556
0.6603303303,0.01699780321
0.6628315816,0.01720757903
0.6653328328,0.01741874155
0.6678340841,0.01763131899
0.6703353353,0.01784526597
0.6728365866,0.01806062051
0.6753378378,0.0182773455
0.6778390891,0.01849547047
0.6803403403,0.0187149347
0.6828415916,0.01893578125
0.6853428428,0.01915797562
0.6878440941,0.01938154573
0.6903453453,0.0196064548
0.6928465966,0.01983269448
0.6953478478,0.02006028917
0.6978490991,0.02028920617
0.7003503504,0.02051947603
0.7028516016,0.02075104251
0.7053528529,0.02098392513
0.7078541041,0.02121810482
0.7103553554,0.02145358283
0.7128566066,0.0216903697
0.7153578579,0.02192841541
0.7178591091,0.02216774409
