# Phase knife nuller coupling vs. separation (horizontal cut through peak)
# Generated: 2026-08-13 09:33:26
#
# Band                    : H (red channel)
# Band edges [nm]         : 1490.0 - 1780.0
# Central wavelength [nm] : 1635.0
# Fractional bandwidth    : 0.1774
# Num. wavelengths        : 1
# Wavelength of this cut  : 1635.0 nm
#
# Pupil                   : Keck
# Pupil diameter [mm]     : 13.1400
# F/#                     : 2.580
# Focal length [mm]       : 33.9012
#
# Fiber type              : bessel
# Fiber core radius [um]  : 2.750
# Fiber NA                : 0.230
#
# Phase step [rad]        : 3.141593
# Knife clocking [deg]    : 0.00
# Knife offset [samp]     : X = 0, Y = 0
# Zernike nolls           : [4 5 6 7 8]
# Zernike coeffs [waves]  : [0 0 0 0 0]
#
# Grid size N             : 1024
# Aperture radius [samp]  : 508
# Image samp [samp/lam0F#]: 400
# Image FOV [lam0/D]      : 10
#
# Column 1: separation [lambda0/D]
# Column 2: coupling efficiency [fractional, not percent]
separation_lambda0_over_D,coupling_efficiency
0,1.09340966e-06
0.0025,6.526166403e-06
0.005,2.282402919e-05
0.0075,4.998577571e-05
0.01,8.800936894e-05
0.0125,0.0001368919573
0.015,0.0001966298748
0.0175,0.0002672186415
0.02,0.000348652964
0.0225,0.0004409267357
0.025,0.0005440330373
0.0275,0.0006579641375
0.03,0.000782711494
0.0325,0.0009182657537
0.035,0.001064616754
0.0375,0.001221753523
0.04,0.001389664281
0.0425,0.001568336443
0.045,0.001757756616
0.0475,0.001957910604
0.05,0.002168783407
0.0525,0.002390359224
0.055,0.002622621452
0.0575,0.002865552689
0.06,0.003119134739
0.0625,0.003383348604
0.065,0.003658174497
0.0675,0.003943591836
0.07,0.004239579248
0.0725,0.004546114572
0.075,0.004863174861
0.0775,0.005190736382
0.08,0.005528774618
0.0825,0.005877264274
0.085,0.006236179276
0.0875,0.006605492772
0.09,0.006985177138
0.0925,0.007375203978
0.095,0.007775544128
0.0975,0.008186167658
0.1,0.008607043873
0.1025,0.009038141318
0.105,0.00947942778
0.1075,0.00993087029
0.11,0.01039243513
0.1125,0.01086408782
0.115,0.01134579316
0.1175,0.01183751517
0.12,0.01233921717
0.1225,0.01285086171
0.125,0.01337241062
0.1275,0.013903825
0.13,0.01444506523
0.1325,0.01499609095
0.135,0.01555686109
0.1375,0.01612733387
0.14,0.01670746678
0.1425,0.01729721661
0.145,0.01789653946
0.1475,0.0185053907
0.15,0.01912372503
0.1525,0.01975149644
0.155,0.02038865823
0.1575,0.02103516303
0.16,0.02169096277
0.1625,0.02235600871
0.165,0.02303025145
0.1675,0.0237136409
0.17,0.02440612632
0.1725,0.02510765631
0.175,0.02581817881
0.1775,0.02653764112
0.18,0.02726598988
0.1825,0.02800317109
0.185,0.02874913012
0.1875,0.02950381171
0.19,0.03026715998
0.1925,0.0310391184
0.195,0.03181962984
0.1975,0.03260863658
0.2,0.03340608025
0.2025,0.0342119019
0.205,0.035026042
0.2075,0.03584844039
0.21,0.03667903636
0.2125,0.03751776859
0.215,0.0383645752
0.2175,0.03921939374
0.22,0.04008216119
0.2225,0.04095281397
0.225,0.04183128795
0.2275,0.04271751844
0.23,0.04361144022
0.2325,0.04451298753
0.235,0.04542209407
0.2375,0.04633869302
0.24,0.04726271705
0.2425,0.0481940983
0.245,0.0491327684
0.2475,0.05007865849
0.25,0.05103169921
0.2525,0.0519918207
0.255,0.05295895263
0.2575,0.05393302417
0.26,0.05491396404
0.2625,0.05590170049
0.265,0.05689616129
0.2675,0.05789727377
0.27,0.05890496483
0.2725,0.05991916089
0.275,0.06093978796
0.2775,0.06196677162
0.28,0.06300003702
0.2825,0.0640395089
0.285,0.06508511158
0.2875,0.06613676899
0.29,0.06719440465
0.2925,0.06825794171
0.295,0.06932730292
0.2975,0.07040241064
0.3,0.07148318689
0.3025,0.07256955331
0.305,0.07366143119
0.3075,0.07475874145
0.31,0.07586140468
0.3125,0.07696934114
0.315,0.07808247076
0.3175,0.07920071312
0.32,0.08032398752
0.3225,0.08145221292
0.325,0.082585308
0.3275,0.08372319112
0.33,0.08486578037
0.3325,0.08601299356
0.335,0.0871647482
0.3375,0.08832096156
0.34,0.08948155063
0.3425,0.09064643215
0.345,0.09181552262
0.3475,0.09298873829
0.35,0.09416599518
0.3525,0.09534720908
0.355,0.09653229556
0.3575,0.09772117
0.36,0.09891374753
0.3625,0.1001099431
0.365,0.1013096716
0.3675,0.1025128474
0.37,0.103719385
0.3725,0.1049291988
0.375,0.1061422026
0.3775,0.1073583105
0.38,0.1085774361
0.3825,0.1097994933
0.385,0.1110243953
0.3875,0.1122520557
0.39,0.1134823876
0.3925,0.1147153042
0.395,0.1159507185
0.3975,0.1171885435
0.4,0.1184286919
0.4025,0.1196710766
0.405,0.1209156101
0.4075,0.1221622053
0.41,0.1234107744
0.4125,0.1246612302
0.415,0.125913485
0.4175,0.1271674511
0.42,0.1284230411
0.4225,0.1296801672
0.425,0.1309387417
0.4275,0.1321986769
0.43,0.1334598852
0.4325,0.1347222789
0.435,0.1359857703
0.4375,0.1372502716
0.44,0.1385156953
0.4425,0.1397819538
0.445,0.1410489594
0.4475,0.1423166246
0.45,0.143584862
0.4525,0.1448535841
0.455,0.1461227036
0.4575,0.1473921331
0.46,0.1486617855
0.4625,0.1499315736
0.465,0.1512014103
0.4675,0.1524712089
0.47,0.1537408824
0.4725,0.1550103442
0.475,0.1562795076
0.4775,0.1575482861
0.48,0.1588165936
0.4825,0.1600843436
0.485,0.1613514504
0.4875,0.1626178278
0.49,0.1638833903
0.4925,0.1651480522
0.495,0.1664117282
0.4975,0.1676743331
0.5,0.1689357819
0.5025,0.1701959897
0.505,0.1714548719
0.5075,0.1727123442
0.51,0.1739683223
0.5125,0.1752227222
0.515,0.1764754603
0.5175,0.1777264529
0.52,0.1789756169
0.5225,0.1802228691
0.525,0.1814681269
0.5275,0.1827113077
0.53,0.1839523292
0.5325,0.1851911095
0.535,0.1864275669
0.5375,0.1876616199
0.54,0.1888931874
0.5425,0.1901221887
0.545,0.1913485431
0.5475,0.1925721704
0.55,0.1937929908
0.5525,0.1950109246
0.555,0.1962258926
0.5575,0.1974378159
0.56,0.1986466158
0.5625,0.1998522142
0.565,0.201054533
0.5675,0.2022534949
0.57,0.2034490225
0.5725,0.2046410391
0.575,0.2058294682
0.5775,0.2070142338
0.58,0.2081952602
0.5825,0.209372472
0.585,0.2105457944
0.5875,0.2117151529
0.59,0.2128804733
0.5925,0.214041682
0.595,0.2151987058
0.5975,0.2163514717
0.6,0.2174999073
0.6025,0.2186439406
0.605,0.2197835001
0.6075,0.2209185146
0.61,0.2220489134
0.6125,0.2231746264
0.615,0.2242955838
0.6175,0.2254117162
0.62,0.2265229548
0.6225,0.2276292312
0.625,0.2287304775
0.6275,0.2298266263
0.63,0.2309176107
0.6325,0.2320033641
0.635,0.2330838207
0.6375,0.2341589149
0.64,0.2352285819
0.6425,0.236292757
0.645,0.2373513765
0.6475,0.2384043767
0.65,0.239451695
0.6525,0.2404932687
0.655,0.2415290361
0.6575,0.2425589358
0.66,0.243582907
0.6625,0.2446008894
0.665,0.2456128233
0.6675,0.2466186495
0.67,0.2476183094
0.6725,0.2486117449
0.675,0.2495988985
0.6775,0.2505797132
0.68,0.2515541325
0.6825,0.2525221007
0.685,0.2534835624
0.6875,0.2544384631
0.69,0.2553867485
0.6925,0.2563283651
0.695,0.2572632599
0.6975,0.2581913807
0.7,0.2591126755
0.7025,0.2600270932
0.705,0.2609345832
0.7075,0.2618350955
0.71,0.2627285806
0.7125,0.2636149899
0.715,0.264494275
0.7175,0.2653663885
0.72,0.2662312832
0.7225,0.2670889129
0.725,0.2679392318
0.7275,0.2687821947
0.73,0.2696177572
0.7325,0.2704458754
0.735,0.2712665059
0.7375,0.2720796062
0.74,0.2728851342
0.7425,0.2736830485
0.745,0.2744733084
0.7475,0.2752558738
0.75,0.2760307052
0.7525,0.2767977637
0.755,0.2775570111
0.7575,0.2783084099
0.76,0.2790519231
0.7625,0.2797875145
0.765,0.2805151484
0.7675,0.2812347898
0.77,0.2819464044
0.7725,0.2826499584
0.775,0.2833454189
0.7775,0.2840327535
0.78,0.2847119304
0.7825,0.2853829184
0.785,0.2860456873
0.7875,0.2867002072
0.79,0.2873464489
0.7925,0.2879843841
0.795,0.2886139848
0.7975,0.289235224
0.8,0.2898480752
0.8025,0.2904525125
0.805,0.2910485107
0.8075,0.2916360454
0.81,0.2922150926
0.8125,0.2927856292
0.815,0.2933476326
0.8175,0.293901081
0.82,0.2944459532
0.8225,0.2949822285
