# Phase knife nuller coupling vs. separation (horizontal cut through peak)
# Generated: 2026-08-31 13:40:48
#
# Band                    : J (blue channel)
# Band edges [nm]         : 1170.0 - 1327.0
# Central wavelength [nm] : 1248.5
# Fractional bandwidth    : 0.1258
# Num. wavelengths        : 1
# Wavelength of this cut  : 1248.5 nm
#
# Pupil                   : Keck
# Pupil diameter [mm]     : 13.1400
# F/#                     : 3.670
# Focal length [mm]       : 48.2238
#
# Fiber type              : bessel
# Fiber core radius [um]  : 2.200
# Fiber NA                : 0.160
#
# Phase step [rad]        : 3.141593
# Knife clocking [deg]    : 0.00
# Knife offset [samp]     : X = 0, Y = 0
# Zernike nolls           : [4 5 6 7 8]
# Zernike coeffs [waves]  : [0 0 0 0 0]
#
# Grid size N             : 1024
# Aperture radius [samp]  : 508
# Image samp [samp/lam0F#]: 400
# Image FOV [lam0/D]      : 10
#
# Column 1: separation [lambda0/D]
# Column 2: coupling efficiency [fractional, not percent]
separation_lambda0_over_D,coupling_efficiency
0,1.044564662e-06
0.0025,6.062924949e-06
0.005,2.111763221e-05
0.0075,4.620756566e-05
0.01,8.133085744e-05
0.0125,0.0001264848928
0.015,0.0001816663102
0.0175,0.000246871002
0.02,0.0003220941141
0.0225,0.0004073300471
0.025,0.0005025724565
0.0275,0.0006078142531
0.03,0.0007230476039
0.0325,0.0008482639326
0.035,0.0009834539203
0.0375,0.001128607507
0.04,0.00128371389
0.0425,0.00144876153
0.045,0.001623738147
0.0475,0.001808630722
0.05,0.002003425502
0.0525,0.002208107997
0.055,0.002422662983
0.0575,0.002647074503
0.06,0.00288132587
0.0625,0.003125399666
0.065,0.003379277745
0.0675,0.003642941234
0.07,0.003916370533
0.0725,0.004199545323
0.075,0.00449244456
0.0775,0.004795046479
0.08,0.005107328602
0.0825,0.005429267731
0.085,0.005760839954
0.0875,0.006102020651
0.09,0.006452784488
0.0925,0.006813105426
0.095,0.007182956721
0.0975,0.007562310924
0.1,0.007951139889
0.1025,0.008349414769
0.105,0.008757106023
0.1075,0.009174183418
0.11,0.00960061603
0.1125,0.01003637225
0.115,0.01048141977
0.1175,0.01093572563
0.12,0.01139925615
0.1225,0.01187197702
0.125,0.01235385323
0.1275,0.01284484909
0.13,0.01334492827
0.1325,0.01385405375
0.135,0.01437218788
0.1375,0.01489929232
0.14,0.0154353281
0.1425,0.0159802556
0.145,0.01653403453
0.1475,0.01709662397
0.15,0.01766798237
0.1525,0.01824806754
0.155,0.01883683664
0.1575,0.01943424622
0.16,0.02004025219
0.1625,0.02065480986
0.165,0.0212778739
0.1675,0.02190939838
0.17,0.02254933675
0.1725,0.02319764188
0.175,0.023854266
0.1775,0.02451916078
0.18,0.02519227727
0.1825,0.02587356594
0.185,0.02656297668
0.1875,0.0272604588
0.19,0.02796596104
0.1925,0.02867943154
0.195,0.0294008179
0.1975,0.03013006716
0.2,0.03086712579
0.2025,0.03161193971
0.205,0.03236445429
0.2075,0.03312461437
0.21,0.03389236423
0.2125,0.03466764762
0.215,0.03545040779
0.2175,0.03624058742
0.22,0.0370381287
0.2225,0.03784297331
0.225,0.0386550624
0.2275,0.03947433663
0.23,0.04030073616
0.2325,0.04113420065
0.235,0.04197466927
0.2375,0.04282208071
0.24,0.0436763732
0.2425,0.04453748446
0.245,0.04540535177
0.2475,0.04627991194
0.25,0.04716110132
0.2525,0.04804885582
0.255,0.04894311089
0.2575,0.04984380154
0.26,0.05075086236
0.2625,0.05166422751
0.265,0.0525838307
0.2675,0.05350960525
0.27,0.05444148406
0.2725,0.05537939961
0.275,0.05632328401
0.2775,0.05727306895
0.28,0.05822868572
0.2825,0.05919006527
0.285,0.06015713813
0.2875,0.06112983449
0.29,0.06210808414
0.2925,0.06309181655
0.295,0.0640809608
0.2975,0.06507544565
0.3,0.06607519951
0.3025,0.06708015044
0.305,0.06809022619
0.3075,0.06910535418
0.31,0.07012546152
0.3125,0.07115047499
0.315,0.07218032108
0.3175,0.07321492597
0.32,0.07425421558
0.3225,0.0752981155
0.325,0.07634655106
0.3275,0.07739944732
0.33,0.07845672907
0.3325,0.07951832084
0.335,0.08058414691
0.3375,0.08165413129
0.34,0.08272819776
0.3425,0.08380626989
0.345,0.08488827098
0.3475,0.08597412413
0.35,0.08706375222
0.3525,0.08815707793
0.355,0.0892540237
0.3575,0.09035451182
0.36,0.09145846437
0.3625,0.09256580323
0.365,0.09367645012
0.3675,0.09479032659
0.37,0.09590735402
0.3725,0.09702745363
0.375,0.0981505465
0.3775,0.09927655354
0.38,0.1004053956
0.3825,0.1015369932
0.385,0.102671267
0.3875,0.1038081373
0.39,0.1049475245
0.3925,0.1060893488
0.395,0.1072335302
0.3975,0.1083799887
0.4,0.1095286444
0.4025,0.1106794169
0.405,0.111832226
0.4075,0.1129869916
0.41,0.1141436331
0.4125,0.1153020702
0.415,0.1164622223
0.4175,0.1176240091
0.42,0.11878735
0.4225,0.1199521643
0.425,0.1211183715
0.4275,0.122285891
0.43,0.1234546423
0.4325,0.1246245445
0.435,0.1257955173
0.4375,0.1269674799
0.44,0.1281403519
0.4425,0.1293140526
0.445,0.1304885015
0.4475,0.1316636181
0.45,0.132839322
0.4525,0.1340155329
0.455,0.1351921703
0.4575,0.1363691541
0.46,0.1375464039
0.4625,0.1387238397
0.465,0.1399013815
0.4675,0.1410789492
0.47,0.1422564631
0.4725,0.1434338433
0.475,0.1446110102
0.4775,0.1457878843
0.48,0.1469643862
0.4825,0.1481404366
0.485,0.1493159562
0.4875,0.1504908661
0.49,0.1516650875
0.4925,0.1528385415
0.495,0.1540111496
0.4975,0.1551828335
0.5,0.1563535148
0.5025,0.1575231155
0.505,0.1586915578
0.5075,0.1598587639
0.51,0.1610246563
0.5125,0.1621891577
0.515,0.1633521911
0.5175,0.1645136795
0.52,0.1656735463
0.5225,0.1668317151
0.525,0.1679881095
0.5275,0.1691426537
0.53,0.1702952718
0.5325,0.1714458884
0.535,0.1725944283
0.5375,0.1737408164
0.54,0.174884978
0.5425,0.1760268386
0.545,0.1771663241
0.5475,0.1783033606
0.55,0.1794378744
0.5525,0.1805697922
0.555,0.1816990409
0.5575,0.1828255478
0.56,0.1839492405
0.5625,0.1850700469
0.565,0.1861878951
0.5675,0.1873027137
0.57,0.1884144315
0.5725,0.1895229778
0.575,0.1906282819
0.5775,0.1917302738
0.58,0.1928288836
0.5825,0.193924042
0.585,0.1950156799
0.5875,0.1961037284
0.59,0.1971881194
0.5925,0.1982687847
0.595,0.1993456568
0.5975,0.2004186684
0.6,0.2014877528
0.6025,0.2025528434
0.605,0.2036138743
0.6075,0.2046707797
0.61,0.2057234944
0.6125,0.2067719536
0.615,0.2078160929
0.6175,0.2088558483
0.62,0.2098911561
0.6225,0.2109219533
0.625,0.211948177
0.6275,0.2129697651
0.63,0.2139866556
0.6325,0.2149987872
0.635,0.2160060988
0.6375,0.2170085301
0.64,0.218006021
0.6425,0.2189985117
0.645,0.2199859433
0.6475,0.2209682571
0.65,0.2219453949
0.6525,0.222917299
0.655,0.223883912
0.6575,0.2248451774
0.66,0.2258010388
0.6625,0.2267514405
0.665,0.2276963271
0.6675,0.2286356439
0.67,0.2295693366
0.6725,0.2304973514
0.675,0.2314196351
0.6775,0.2323361348
0.68,0.2332467983
0.6825,0.2341515739
0.685,0.2350504104
0.6875,0.235943257
0.69,0.2368300636
0.6925,0.2377107806
0.695,0.2385853587
0.6975,0.2394537496
0.7,0.240315905
0.7025,0.2411717776
0.705,0.2420213203
0.7075,0.2428644868
0.71,0.2437012311
0.7125,0.2445315079
0.715,0.2453552725
0.7175,0.2461724806
0.72,0.2469830887
0.7225,0.2477870535
0.725,0.2485843326
0.7275,0.249374884
0.73,0.2501586662
0.7325,0.2509356385
0.735,0.2517057605
0.7375,0.2524689926
0.74,0.2532252956
0.7425,0.253974631
0.745,0.2547169607
0.7475,0.2554522475
0.75,0.2561804544
0.7525,0.2569015453
0.755,0.2576154844
0.7575,0.2583222368
0.76,0.2590217679
0.7625,0.2597140438
0.765,0.2603990313
0.7675,0.2610766976
0.77,0.2617470106
0.7725,0.2624099387
0.775,0.2630654511
0.7775,0.2637135173
0.78,0.2643541077
0.7825,0.264987193
0.785,0.2656127448
0.7875,0.266230735
0.79,0.2668411364
0.7925,0.2674439221
0.795,0.2680390661
0.7975,0.2686265426
0.8,0.2692063269
0.8025,0.2697783945
0.805,0.2703427217
0.8075,0.2708992854
0.81,0.271448063
0.8125,0.2719890326
0.815,0.2725221727
0.8175,0.2730474628
0.82,0.2735648827
0.8225,0.2740744128
0.825,0.2745760343
0.8275,0.2750697288
0.83,0.2755554786
0.8325,0.2760332666
0.835,0.2765030764
0.8375,0.2769648919
0.84,0.2774186979
0.8425,0.2778644798
0.845,0.2783022233
0.8475,0.2787319151
0.85,0.2791535422
0.8525,0.2795670924
0.855,0.279972554
0.8575,0.2803699158
0.86,0.2807591673
0.8625,0.2811402988
0.865,0.2815133008
0.8675,0.2818781648
0.87,0.2822348825
0.8725,0.2825834464
0.875,0.2829238497
0.8775,0.2832560861
0.88,0.2835801497
0.8825,0.2838960354
0.885,0.2842037387
0.8875,0.2845032556
0.89,0.2847945826
0.8925,0.2850777171
0.895,0.2853526568
0.8975,0.2856194
0.9,0.2858779457
0.9025,0.2861282934
0.905,0.2863704431
0.9075,0.2866043956
0.91,0.2868301521
0.9125,0.2870477144
0.915,0.287257085
0.9175,0.2874582666
0.92,0.2876512629
0.9225,0.2878360779
0.925,0.2880127162
0.9275,0.2881811832
0.93,0.2883414844
0.9325,0.2884936263
0.935,0.2886376156
0.9375,0.2887734599
0.94,0.288901167
0.9425,0.2890207455
0.945,0.2891322044
0.9475,0.2892355534
0.95,0.2893308024
0.9525,0.2894179623
0.955,0.2894970443
0.9575,0.2895680599
0.96,0.2896310216
0.9625,0.289685942
0.965,0.2897328346
0.9675,0.2897717131
0.97,0.2898025919
0.9725,0.2898254859
0.975,0.2898404104
0.9775,0.2898473813
0.98,0.289846415
0.9825,0.2898375284
0.985,0.2898207389
0.9875,0.2897960644
0.99,0.2897635233
0.9925,0.2897231344
0.995,0.2896749171
0.9975,0.2896188913
1,0.2895550773
1.0025,0.2894834959
1.005,0.2894041684
1.0075,0.2893171165
1.01,0.2892223626
1.0125,0.2891199292
1.015,0.2890098395
1.0175,0.2888921171
1.02,0.2887667862
1.0225,0.2886338711
1.025,0.2884933969
1.0275,0.288345389
1.03,0.2881898733
1.0325,0.2880268759
1.035,0.2878564237
1.0375,0.2876785437
1.04,0.2874932637
1.0425,0.2873006114
1.045,0.2871006155
1.0475,0.2868933046
1.05,0.2866787081
1.0525,0.2864568556
1.055,0.2862277771
1.0575,0.2859915031
1.06,0.2857480644
1.0625,0.2854974923
1.065,0.2852398184
1.0675,0.2849750747
1.07,0.2847032936
1.0725,0.2844245078
1.075,0.2841387506
1.0775,0.2838460553
1.08,0.2835464559
1.0825,0.2832399866
1.085,0.282926682
1.0875,0.2826065769
1.09,0.2822797068
1.0925,0.2819461071
1.095,0.2816058139
1.0975,0.2812588635
1.1,0.2809052925
1.1025,0.2805451378
1.105,0.2801784367
1.1075,0.2798052268
1.11,0.2794255461
1.1125,0.2790394327
1.115,0.2786469251
1.1175,0.2782480622
1.12,0.277842883
1.1225,0.2774314271
1.125,0.2770137341
1.1275,0.2765898439
1.13,0.2761597968
1.1325,0.2757236334
1.135,0.2752813945
1.1375,0.2748331211
1.14,0.2743788545
1.1425,0.2739186364
1.145,0.2734525086
1.1475,0.2729805131
1.15,0.2725026923
1.1525,0.2720190888
1.155,0.2715297454
1.1575,0.2710347051
1.16,0.2705340111
1.1625,0.2700277071
1.165,0.2695158365
1.1675,0.2689984434
1.17,0.2684755719
1.1725,0.2679472663
1.175,0.2674135712
1.1775,0.2668745312
1.18,0.2663301912
1.1825,0.2657805964
1.185,0.2652257921
1.1875,0.2646658236
1.19,0.2641007366
1.1925,0.2635305769
1.195,0.2629553905
1.1975,0.2623752235
1.2,0.2617901221
1.2025,0.2612001327
1.205,0.260605302
1.2075,0.2600056766
1.21,0.2594013034
1.2125,0.2587922294
1.215,0.2581785016
1.2175,0.2575601674
1.22,0.256937274
1.2225,0.2563098688
1.225,0.2556779996
