# Phase knife nuller coupling vs. separation (horizontal cut through peak)
# Generated: 2026-08-31 14:08:51
#
# Band                    : K (red channel)
# Band edges [nm]         : 1990.0 - 2460.0
# Central wavelength [nm] : 2225.0
# Fractional bandwidth    : 0.2112
# Num. wavelengths        : 1
# Wavelength of this cut  : 2225.0 nm
#
# Pupil                   : Keck
# Pupil diameter [mm]     : 13.1400
# F/#                     : 2.580
# Focal length [mm]       : 33.9012
#
# Fiber type              : bessel
# Fiber core radius [um]  : 2.750
# Fiber NA                : 0.230
#
# Phase step [rad]        : 3.141593
# Knife clocking [deg]    : 0.00
# Knife offset [samp]     : X = 0, Y = 0
# Zernike nolls           : [4 5 6 7 8]
# Zernike coeffs [waves]  : [0 0 0 0 0]
#
# Grid size N             : 1024
# Aperture radius [samp]  : 508
# Image samp [samp/lam0F#]: 400
# Image FOV [lam0/D]      : 10
#
# Column 1: separation [lambda0/D]
# Column 2: coupling efficiency [fractional, not percent]
separation_lambda0_over_D,coupling_efficiency
0,1.043579321e-06
0.0025,6.092888056e-06
0.005,2.12404373e-05
0.0075,4.648509622e-05
0.01,8.182498019e-05
0.0125,0.000127257451
0.015,0.0001827791169
0.0175,0.0002483858334
0.02,0.0003240727028
0.0225,0.0004098340756
0.025,0.0005056635502
0.0275,0.0006115539739
0.03,0.0007274974432
0.0325,0.0008534853051
0.035,0.000989508157
0.0375,0.001135555848
0.04,0.001291617481
0.0425,0.00145768141
0.045,0.001633735246
0.0475,0.001819765855
0.05,0.002015759358
0.0525,0.002221701136
0.055,0.002437575829
0.0575,0.002663367338
0.06,0.002899058825
0.0625,0.003144632717
0.065,0.003400070703
0.0675,0.003665353744
0.07,0.003940462063
0.0725,0.00422537516
0.075,0.004520071801
0.0775,0.004824530029
0.08,0.005138727161
0.0825,0.005462639795
0.085,0.005796243804
0.0875,0.006139514348
0.09,0.006492425866
0.0925,0.006854952087
0.095,0.007227066027
0.0975,0.007608739993
0.1,0.007999945588
0.1025,0.008400653707
0.105,0.008810834545
0.1075,0.009230457599
0.11,0.00965949167
0.1125,0.01009790486
0.115,0.0105456646
0.1175,0.0110027376
0.12,0.0114690899
0.1225,0.01194468689
0.125,0.01242949322
0.1275,0.01292347292
0.13,0.0134265893
0.1325,0.01393880505
0.135,0.01446008216
0.1375,0.01499038195
0.14,0.01552966512
0.1425,0.01607789167
0.145,0.01663502097
0.1475,0.01720101175
0.15,0.01777582208
0.1525,0.01835940938
0.155,0.01895173045
0.1575,0.01955274145
0.16,0.02016239791
0.1625,0.02078065473
0.165,0.02140746618
0.1675,0.02204278593
0.17,0.02268656703
0.1725,0.02333876191
0.175,0.0239993224
0.1775,0.02466819972
0.18,0.02534534451
0.1825,0.02603070679
0.185,0.02672423603
0.1875,0.02742588107
0.19,0.0281355902
0.1925,0.02885331113
0.195,0.02957899098
0.1975,0.03031257633
0.2,0.03105401317
0.2025,0.03180324696
0.205,0.03256022259
0.2075,0.0333248844
0.21,0.03409717621
0.2125,0.03487704126
0.215,0.0356644223
0.2175,0.03645926153
0.22,0.03726150063
0.2225,0.03807108075
0.225,0.03888794255
0.2275,0.03971202616
0.23,0.04054327122
0.2325,0.04138161687
0.235,0.04222700176
0.2375,0.04307936405
0.24,0.0439386414
0.2425,0.04480477103
0.245,0.04567768966
0.2475,0.04655733355
0.25,0.04744363851
0.2525,0.04833653988
0.255,0.04923597257
0.2575,0.05014187102
0.26,0.05105416926
0.2625,0.05197280088
0.265,0.05289769902
0.2675,0.05382879643
0.27,0.05476602544
0.2725,0.05570931794
0.275,0.05665860545
0.2775,0.05761381909
0.28,0.05857488957
0.2825,0.05954174723
0.285,0.06051432202
0.2875,0.06149254352
0.29,0.06247634095
0.2925,0.06346564314
0.295,0.0644603786
0.2975,0.06546047547
0.3,0.06646586155
0.3025,0.06747646431
0.305,0.06849221087
0.3075,0.06951302803
0.31,0.0705388423
