# wavelength_um, throughput
8.000000000000000444e-01,8.765076829034375500e-05
8.003320664132830276e-01,8.743998857347258134e-05
8.006641328265650115e-01,8.720445741306268169e-05
8.009961992398479946e-01,8.698413283567500156e-05
8.013282656531309778e-01,8.681601506633159523e-05
8.016603320664129617e-01,8.662967020253543675e-05
8.019923984796959449e-01,8.636257540959717824e-05
8.023244648929790390e-01,8.752859484898217106e-05
8.026565313062610230e-01,8.866020335303923634e-05
8.029885977195440061e-01,8.980790956223750135e-05
8.033206641328269892e-01,9.101216062147598779e-05
8.036527305461089732e-01,9.224085825473782513e-05
8.039847969593919563e-01,9.342890625598032162e-05
8.043168633726740513e-01,9.453140580189068676e-05
8.046489297859570344e-01,9.560655851077277869e-05
8.049809961992400176e-01,9.679042075016643782e-05
8.053130626125220015e-01,9.812562894244280392e-05
8.056451290258049847e-01,9.955739662039216433e-05
8.059771954390879678e-01,1.009652940583592392e-04
8.063092618523709509e-01,1.022370131504644046e-04
8.066413282656530459e-01,1.033801821094476825e-04
8.069733946789360290e-01,1.044149383984224782e-04
8.073054610922180130e-01,1.053651300672792720e-04
8.076375275055009961e-01,1.062717597554617763e-04
8.079695939187839793e-01,1.071779989495122692e-04
8.083016603320659632e-01,1.067853625294021432e-04
8.086337267453489464e-01,1.063711576135730602e-04
8.089657931586320405e-01,1.061498297733209662e-04
8.092978595719140245e-01,1.061334723094907342e-04
8.096299259851970076e-01,1.061837234827437760e-04
8.099619923984799907e-01,1.061101353974647639e-04
8.102940588117619747e-01,1.083586261446787034e-04
8.106261252250449578e-01,1.107418472586705596e-04
8.109581916383280520e-01,1.131069073904883741e-04
8.112902580516100359e-01,1.156202455657405199e-04
8.116223244648930191e-01,1.182566438971812615e-04
8.119543908781760022e-01,1.209125243835040641e-04
8.122864572914579862e-01,1.222638277187986715e-04
8.126185237047409693e-01,1.233282891181714566e-04
8.129505901180239524e-01,1.243400823778364507e-04
8.132826565313060474e-01,1.253408352261719595e-04
8.136147229445890305e-01,1.263906900472773086e-04
8.139467893578720137e-01,1.275446185569839780e-04
8.142788557711539976e-01,1.287398327927271691e-04
8.146109221844369808e-01,1.299226613181153210e-04
8.149429885977199639e-01,1.310161904421741771e-04
8.152750550110019478e-01,1.319400506875314431e-04
8.156071214242850420e-01,1.327842454549722870e-04
8.159391878375670260e-01,1.337261835699576830e-04
8.162712542508500091e-01,1.359430024006013607e-04
8.166033206641329922e-01,1.386188857474083278e-04
8.169353870774149762e-01,1.413982396649764129e-04
8.172674534906979593e-01,1.441709988550792930e-04
8.175995199039810535e-01,1.468176593582418480e-04
8.179315863172630374e-01,1.492137334982093105e-04
8.182636527305460206e-01,1.512366340271326754e-04
8.185957191438290037e-01,1.530503518826581096e-04
8.189277855571109876e-01,1.548649883742616933e-04
8.192598519703939708e-01,1.569871427128905297e-04
8.195919183836769539e-01,1.595133475764791160e-04
8.199239847969590489e-01,1.622511815605442976e-04
8.202560512102420320e-01,1.651373179327916807e-04
8.205881176235250152e-01,1.680679909060679082e-04
8.209201840368069991e-01,1.709144439868820193e-04
8.212522504500899823e-01,1.735578953314093726e-04
8.215843168633729654e-01,1.760307855009789115e-04
8.219163832766549493e-01,1.784511015640416443e-04
8.222484496899380435e-01,1.809328311067051262e-04
8.225805161032210266e-01,1.834530491790612209e-04
8.229125825165030106e-01,1.859106029352002888e-04
8.232446489297859937e-01,1.882171484215426518e-04
8.235767153430689769e-01,1.905246398504840868e-04
8.239087817563509608e-01,1.931247511829287968e-04
8.242408481696340550e-01,1.972517570217499324e-04
8.245729145829170381e-01,2.020674778793182856e-04
8.249049809961990221e-01,2.066513002787568807e-04
8.252370474094820052e-01,2.104671005833453257e-04
8.255691138227649883e-01,2.136517333475684128e-04
8.259011802360469723e-01,2.167816431937603071e-04
8.262332466493299554e-01,2.194739230461259473e-04
8.265653130626120504e-01,2.222933399192583844e-04
8.268973794758950335e-01,2.253184771865494298e-04
8.272294458891780167e-01,2.282330317464099933e-04
8.275615123024600006e-01,2.309356811625228815e-04
8.278935787157429838e-01,2.334626426318979541e-04
8.282256451290259669e-01,2.367699282730591508e-04
8.285577115423079508e-01,2.404784053880219493e-04
8.288897779555910450e-01,2.443050154870425833e-04
8.292218443688740281e-01,2.483886824186343450e-04
8.295539107821560121e-01,2.526641615848832694e-04
8.298859771954389952e-01,2.566330874115763843e-04
8.302180436087219784e-01,2.594663302299722455e-04
8.305501100220039623e-01,2.616847484133782921e-04
8.308821764352869454e-01,2.639695008981734364e-04
8.312142428485700396e-01,2.665050568961951092e-04
8.315463092618520236e-01,2.692808953054946688e-04
8.318783756751350067e-01,2.720552491607826058e-04
8.322104420884179898e-01,2.746372102474622825e-04
8.325425085016999738e-01,2.770283390235242786e-04
8.328745749149829569e-01,2.794511126985725928e-04
8.332066413282660511e-01,2.822127548704017022e-04
8.335387077415480350e-01,2.850862029779902516e-04
8.338707741548310182e-01,2.878800234498691234e-04
8.342028405681140013e-01,2.912225623526761421e-04
8.345349069813959852e-01,2.948904833050481266e-04
8.348669733946789684e-01,2.986434596365174525e-04
8.351990398079619515e-01,3.027603512140305772e-04
8.355311062212440465e-01,3.072455476647249209e-04
8.358631726345270296e-01,3.118768410604746770e-04
8.361952390478100128e-01,3.148539940056696335e-04
8.365273054610919967e-01,3.166093381929669889e-04
8.368593718743749799e-01,3.183685202342087105e-04
8.371914382876579630e-01,3.202536393572237919e-04
8.375235047009399469e-01,3.221701028535228859e-04
8.378555711142230411e-01,3.238786820433182446e-04
8.381876375275050250e-01,3.258767197829722201e-04
8.385197039407880082e-01,3.280800841577679022e-04
8.388517703540709913e-01,3.303047565540566128e-04
8.391838367673539745e-01,3.329133081092027586e-04
8.395159031806359584e-01,3.359915623145776076e-04
8.398479695939190526e-01,3.392593603422170150e-04
8.401800360072010365e-01,3.417038061295647440e-04
8.405121024204840197e-01,3.433751116941158549e-04
8.408441688337670028e-01,3.450388120203692248e-04
8.411762352470489867e-01,3.469670315453177362e-04
8.415083016603319699e-01,3.490462828472796607e-04
8.418403680736149530e-01,3.511109080818872099e-04
8.421724344868970480e-01,3.536964493484463334e-04
8.425045009001800311e-01,3.567442050523981145e-04
8.428365673134630143e-01,3.597574111308877889e-04
8.431686337267449982e-01,3.628986542650410236e-04
8.435007001400279814e-01,3.662086114675728384e-04
8.438327665533109645e-01,3.696008488403300959e-04
8.441648329665929484e-01,3.722374828991846497e-04
8.444968993798760426e-01,3.740025763104929952e-04
8.448289657931590257e-01,3.757258296443302713e-04
8.451610322064410097e-01,3.774232638873678981e-04
8.454930986197239928e-01,3.791160544308601354e-04
8.458251650330069760e-01,3.808243489381807432e-04
8.461572314462889599e-01,3.825678442636229861e-04
8.464892978595720541e-01,3.843608035266510726e-04
8.468213642728540380e-01,3.862073302503816856e-04
8.471534306861370212e-01,3.881013396552940331e-04
8.474854970994200043e-01,3.899963716983860301e-04
8.478175635127029874e-01,3.918056311323754809e-04
8.481496299259849714e-01,3.935375056599128775e-04
8.484816963392679545e-01,3.954162844143993094e-04
8.488137627525500495e-01,3.973783222422970713e-04
8.491458291658330326e-01,3.995708679107042678e-04
8.494778955791160158e-01,4.020493500849345921e-04
8.498099619923979997e-01,4.046502146935389310e-04
8.501420284056809828e-01,4.078013487900176005e-04
8.504740948189639660e-01,4.116561732107940595e-04
8.508061612322469491e-01,4.149824336914713450e-04
8.511382276455290441e-01,4.182422142985976234e-04
8.514702940588120272e-01,4.217399620644464138e-04
8.518023604720940112e-01,4.254664150070263523e-04
8.521344268853769943e-01,4.292608050001758867e-04
8.524664932986599775e-01,4.331913564434704766e-04
8.527985597119419614e-01,4.371231190765617982e-04
8.531306261252249445e-01,4.411759835162058991e-04
8.534626925385080387e-01,4.452501640456091358e-04
8.537947589517900226e-01,4.492677069978484963e-04
8.541268253650730058e-01,4.537949940823217615e-04
8.544588917783559889e-01,4.592770537880239623e-04
8.547909581916379729e-01,4.649307569576105340e-04
8.551230246049209560e-01,4.708692963026961452e-04
8.554550910182040502e-01,4.770504466562086230e-04
8.557871574314860341e-01,4.832867032563387772e-04
8.561192238447690173e-01,4.894183539174124485e-04
8.564512902580520004e-01,4.953022489582006079e-04
8.567833566713339843e-01,5.009847538954058464e-04
8.571154230846169675e-01,5.066316074928346909e-04
8.574474894978999506e-01,5.123102435662018001e-04
8.577795559111820456e-01,5.181688268514547668e-04
8.581116223244650287e-01,5.256656213779006609e-04
8.584436887377470127e-01,5.353266757811816958e-04
8.587757551510299958e-01,5.447544598945582494e-04
8.591078215643129790e-01,5.543080018324175653e-04
8.594398879775959621e-01,5.641005604860191381e-04
8.597719543908779460e-01,5.739097780937473621e-04
8.601040208041610402e-01,5.834205382446150780e-04
8.604360872174430241e-01,5.922967330244910096e-04
8.607681536307260073e-01,6.012191721945503442e-04
8.611002200440089904e-01,6.106874622152189559e-04
8.614322864572909744e-01,6.208833626022450215e-04
8.617643528705739575e-01,6.314346233678094647e-04
8.620964192838570517e-01,6.431990067374919722e-04
8.624284856971390356e-01,6.579852670427541574e-04
8.627605521104220188e-01,6.726553590013890308e-04
8.630926185237050019e-01,6.873570541599039775e-04
8.634246849369869858e-01,7.021910768424186175e-04
8.637567513502699690e-01,7.171090443091446319e-04
8.640888177635529521e-01,7.329136876121180363e-04
8.644208841768350471e-01,7.510282050239529402e-04
8.647529505901180302e-01,7.692492181648309885e-04
8.650850170034010134e-01,7.882228935358940279e-04
8.654170834166829973e-01,8.082861103154371975e-04
8.657491498299659805e-01,8.285121459260082546e-04
8.660812162432489636e-01,8.499065444101615817e-04
8.664132826565309475e-01,8.752153067449993436e-04
8.667453490698140417e-01,9.008117098202838820e-04
8.670774154830970248e-01,9.267714787876339504e-04
8.674094818963790088e-01,9.531329354397794374e-04
8.677415483096619919e-01,9.798517226686778367e-04
8.680736147229449751e-01,1.008373701786561280e-03
8.684056811362269590e-01,1.042417924148260431e-03
8.687377475495100532e-01,1.076604994161179047e-03
8.690698139627930363e-01,1.110755182043187761e-03
8.694018803760750203e-01,1.144845082071738965e-03
8.697339467893580034e-01,1.179098310818529286e-03
8.700660132026399873e-01,1.216093193136566540e-03
8.703980796159229705e-01,1.262243335271479115e-03
8.707301460292059536e-01,1.308958609313278041e-03
8.710622124424880486e-01,1.355753134672104537e-03
8.713942788557710317e-01,1.402352353185831431e-03
8.717263452690540149e-01,1.449509679060429282e-03
8.720584116823359988e-01,1.500693116481192088e-03
8.723904780956189819e-01,1.565032610428181582e-03
8.727225445089019651e-01,1.629152562921276247e-03
8.730546109221839490e-01,1.693168017887775566e-03
8.733866773354670432e-01,1.756556738945043005e-03
8.737187437487500263e-01,1.819710348912214433e-03
8.740508101620320103e-01,1.886030705507467462e-03
8.743828765753149934e-01,1.970380565648795039e-03
8.747149429885979766e-01,2.055832303281497197e-03
8.750470094018799605e-01,2.142120821383894456e-03
8.753790758151630547e-01,2.228960781433683702e-03
8.757111422284460378e-01,2.316550315898084720e-03
8.760432086417280217e-01,2.408611735597605136e-03
8.763752750550110049e-01,2.527586187046232738e-03
8.767073414682939880e-01,2.647974353363821698e-03
8.770394078815759720e-01,2.769891357758895879e-03
8.773714742948589551e-01,2.893841130513686959e-03
8.777035407081420493e-01,3.018971687572139483e-03
