mag,Flux[e-],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm]
seeing,,good,good,good,good,average,average,average,average,bad,bad,bad,bad,good,good,good,good,average,average,average,average,bad,bad,bad,bad,good,good,good,good,average,average,average,average,bad,bad,bad,bad
zenith_angle,,0,30,45,60,0,30,45,60,0,30,45,60,0,30,45,60,0,30,45,60,0,30,45,60,0,30,45,60,0,30,45,60,0,30,45,60
ao_mode,,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,NGS,NGS,NGS,NGS,NGS,NGS,NGS,NGS,NGS,NGS,NGS,NGS,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF
band,,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
0.01,,145,150,159,184,161,167,181,218,183,192,211,262,127.2565538,129.6524108,133.7008975,143.2631632,139.4585574,143.3344811,150.1974528,166.0744079,161.0513634,167.9453794,179.91769,207.776559,153,160,175,219,170,179,200,256,197,211,238,312
1,4259226009,145,150,159,184,161,167,181,218,183,192,211,262,127.2565538,129.6524108,133.7008975,143.2631632,139.4585574,143.3344811,150.1974528,166.0744079,161.0513634,167.9453794,179.91769,207.776559,153,160,175,219,170,179,200,256,197,211,238,312
2,1695628415,145,150,159,184,161,167,181,218,183,192,211,262,127.2565538,129.6524108,133.7008975,143.2631632,139.4585574,143.3344811,150.1974528,166.0744079,161.0513634,167.9453794,179.91769,207.776559,153,160,175,219,170,179,200,256,197,211,238,312
3,675041830.7,145,150,159,184,161,167,181,218,183,192,211,262,127.2565538,129.6524108,133.7008975,143.2631632,139.4585574,143.3344811,150.1974528,166.0744079,161.0513634,167.9453794,179.91769,207.776559,153,160,175,219,170,179,200,256,197,211,238,312
4,268738993.2,145,150,159,184,161,167,181,218,183,192,211,262,127.2565538,129.6524108,133.7008975,143.2631632,139.4585574,143.3344811,150.1974528,166.0744079,161.0513634,167.9453794,179.91769,207.776559,153,160,175,219,170,179,200,256,197,211,238,312
5,106986920.2,145,150,159,184,161,167,181,218,183,192,211,262,127.2565538,129.6524108,133.7008975,143.2631632,139.4585574,143.3344811,150.1974528,166.0744079,161.0513634,167.9453794,179.91769,207.776559,153,160,175,219,170,179,200,256,197,211,238,312
6,42592260.09,145,150,159,184,161,167,181,218,183,192,211,262,127.2565538,129.6524108,133.7008975,143.2631632,139.4585574,143.3344811,150.1974528,166.0744079,161.0513634,167.9453794,179.91769,207.776559,153,160,175,219,170,179,200,256,197,211,238,312
7,16956284.15,145,150,159,184,161,167,181,218,183,192,211,262,127.2565538,129.6524108,133.7008975,143.2631632,139.4585574,143.3344811,150.1974528,166.0744079,161.0513634,167.9453794,179.91769,207.776559,153,160,175,219,170,179,200,256,197,211,238,312
8,6750418.307,145,150,159,184,161,167,181,218,183,192,211,262,127.2565538,129.6524108,133.7008975,143.2631632,139.4585574,143.3344811,150.1974528,166.0744079,161.0513634,167.9453794,179.91769,207.776559,153,160,175,219,170,179,200,256,197,211,238,312
9,2687389.932,145,150,159,184,161,167,181,218,183,192,211,262,127.2565538,129.6524108,133.7008975,143.2631632,139.4585574,143.3344811,150.1974528,166.0744079,161.0513634,167.9453794,179.91769,207.776559,153,160,175,219,170,179,200,256,197,211,238,312
10,1069869.202,145,150,159,184,161,167,181,218,183,192,211,262,128.1169017,130.6104306,134.7956987,144.6395542,140.6472066,144.717678,151.797642,167.9367816,163.0437616,169.8500558,181.9876835,210.1396989,153,160,175,219,170,179,200,256,197,211,238,312
11,425922.6009,145,150,159,184,161,167,181,218,183,192,211,262,129.9011238,132.457276,136.7650775,147.1240703,143.1779207,147.4005263,154.6217457,171.3956128,166.6957926,173.4960991,185.8570834,214.9565591,153,160,175,219,170,179,200,256,197,211,238,312
12,169562.8415,145,150,159,184,161,167,181,218,183,192,211,262,133.5142872,136.2422561,140.8377992,152.2251574,148.4789177,152.835323,160.160467,178.3621075,173.9337625,181.2574299,194.3610595,225.7338416,153,160,175,219,170,179,200,256,197,211,238,312
13,67504.18307,145,150,159,184,161,167,181,218,183,192,211,262,141.3629416,144.1545358,148.7023521,159.7973256,159.4709423,164.1086465,171.4074468,190.3813751,190.6052074,198.7236949,212.4683549,244.8440781,153,160,175,219,170,179,200,256,197,211,238,312
14,26873.89932,145,150,159,184,161,167,181,218,183,192,211,262,157.3498003,159.2028905,163.33081,173.4277239,183.9143037,187.4263638,194.8753748,212.8685457,230.0499299,237.0932983,250.5492625,281.4106608,153,160,175,219,170,179,200,256,197,211,238,312
15,10698.69202,145,150,159,184,161,167,181,218,183,192,211,262,194.6643447,195.8425294,198.5617805,208.1603542,241.7412003,244.3234061,249.9555941,268.5861693,314.3410654,321.4091582,333.8004154,367.9468148,153,160,175,219,170,179,200,256,197,211,238,312
16,4259.226009,145,150,159,184,161,167,181,218,183,192,211,262,334.7700866,328.3206404,320.6742222,309.5725506,431.5950834,425.9584798,417.2533072,410.6364188,563.9823108,550.791709,547.6597381,554.8284983,153,160,175,219,170,179,200,256,197,211,238,312
17,1695.628415,145,150,159,184,161,167,181,218,183,192,211,262,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,153,160,175,219,170,179,200,256,197,211,238,312
18,675.0418307,145,150,159,184,161,167,181,218,183,192,211,262,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,153,160,175,219,170,179,200,256,197,211,238,312
19,268.7389932,145,150,159,184,161,167,181,218,183,192,211,262,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,153,160,175,219,170,179,200,256,197,211,238,312
20,106.9869202,145,150,159,184,161,167,181,218,183,192,211,262,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,153,160,175,219,170,179,200,256,197,211,238,312
21,42.59226009,145,150,159,184,161,167,181,218,183,192,211,262,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,153,160,175,219,170,179,200,256,197,211,238,312
22,0,145,150,159,184,161,167,181,218,183,192,211,262,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,153,160,175,219,170,179,200,256,197,211,238,312
