mag,Flux[e-],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm]
seeing,,good,good,good,good,average,average,average,average,bad,bad,bad,bad,good,good,good,good,average,average,average,average,bad,bad,bad,bad,good,good,good,good,average,average,average,average,bad,bad,bad,bad
zenith_angle,,0,30,45,60,0,30,45,60,0,30,45,60,0,30,45,60,0,30,45,60,0,30,45,60,0,30,45,60,0,30,45,60,0,30,45,60
ao_mode,,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,NGS,NGS,NGS,NGS,NGS,NGS,NGS,NGS,NGS,NGS,NGS,NGS,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF
band,,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
0.01,,1.792166,1.977015,2.100227,2.154562,2.029745,2.222976,2.429037,2.590186,2.394671,2.549462,2.919673,3.467197,1.196608,1.20881,1.234732,1.297288,1.260668,1.291175,1.361298,1.533441,1.445173,1.515428,1.715049,2.207603,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24
1,4259226009,1.792166,1.977015,2.100227,2.154562,2.029745,2.222976,2.429037,2.590186,2.394671,2.549462,2.919673,3.467197,1.196608,1.20881,1.234732,1.297288,1.260668,1.291175,1.361298,1.533441,1.445173,1.515428,1.715049,2.207603,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24
2,1695628415,1.792166,1.977015,2.100227,2.154562,2.029745,2.222976,2.429037,2.590186,2.394671,2.549462,2.919673,3.467197,1.196608,1.20881,1.234732,1.297288,1.260668,1.291175,1.361298,1.533441,1.445173,1.515428,1.715049,2.207603,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24
3,675041830.7,1.792166,1.977015,2.100227,2.154562,2.029745,2.222976,2.429037,2.590186,2.394671,2.549462,2.919673,3.467197,1.196608,1.20881,1.234732,1.297288,1.260668,1.291175,1.361298,1.533441,1.445173,1.515428,1.715049,2.207603,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24
4,268738993.2,1.792166,1.977015,2.100227,2.154562,2.029745,2.222976,2.429037,2.590186,2.394671,2.549462,2.919673,3.467197,1.196608,1.20881,1.234732,1.297288,1.260668,1.291175,1.361298,1.533441,1.445173,1.515428,1.715049,2.207603,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24
5,106986920.2,1.792166,1.977015,2.100227,2.154562,2.029745,2.222976,2.429037,2.590186,2.394671,2.549462,2.919673,3.467197,1.196608,1.20881,1.234732,1.297288,1.260668,1.291175,1.361298,1.533441,1.445173,1.515428,1.715049,2.207603,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24
6,42592260.09,1.792166,1.977015,2.100227,2.154562,2.029745,2.222976,2.429037,2.590186,2.394671,2.549462,2.919673,3.467197,1.196608,1.20881,1.234732,1.297288,1.260668,1.291175,1.361298,1.533441,1.445173,1.515428,1.715049,2.207603,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24
7,16956284.15,1.792166,1.977015,2.100227,2.154562,2.029745,2.222976,2.429037,2.590186,2.394671,2.549462,2.919673,3.467197,1.196608,1.20881,1.234732,1.297288,1.260668,1.291175,1.361298,1.533441,1.445173,1.515428,1.715049,2.207603,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24
8,6750418.307,1.792166,1.977015,2.100227,2.154562,2.029745,2.222976,2.429037,2.590186,2.394671,2.549462,2.919673,3.467197,1.196608,1.20881,1.234732,1.297288,1.260668,1.291175,1.361298,1.533441,1.445173,1.515428,1.715049,2.207603,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24
9,2687389.932,1.792166,1.977015,2.100227,2.154562,2.029745,2.222976,2.429037,2.590186,2.394671,2.549462,2.919673,3.467197,1.196608,1.20881,1.234732,1.297288,1.260668,1.291175,1.361298,1.533441,1.445173,1.515428,1.715049,2.207603,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24
10,1069869.202,1.792166,1.977015,2.100227,2.154562,2.029745,2.222976,2.429037,2.590186,2.394671,2.549462,2.919673,3.467197,1.205528,1.219171,1.251004,1.325829,1.274651,1.309275,1.386653,1.576932,1.47276,1.555631,1.754979,2.259705,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24
11,425922.6009,1.792166,1.977015,2.100227,2.154562,2.029745,2.222976,2.429037,2.590186,2.394671,2.549462,2.919673,3.467197,1.22726,1.245017,1.282879,1.377662,1.309704,1.349528,1.433014,1.65595,1.555257,1.615922,1.828565,2.338192,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24
12,169562.8415,1.792166,1.977015,2.100227,2.154562,2.029745,2.222976,2.429037,2.590186,2.394671,2.549462,2.919673,3.467197,1.277486,1.302313,1.357967,1.49115,1.388891,1.438274,1.534055,1.835841,1.681784,1.773605,1.974171,2.604068,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24
13,67504.18307,1.794442,1.973972,2.094856,2.155784,2.027283,2.23583,2.442064,2.587377,2.398104,2.577583,2.94804,3.438891,1.381366,1.413636,1.444302,1.584107,1.540254,1.607299,1.710628,1.9764,1.880336,2.066386,2.292859,2.718507,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24
14,26873.89932,1.799769,1.976708,2.116168,2.158046,2.044618,2.229949,2.467793,2.617097,2.41957,2.599849,2.965092,3.530203,1.552067,1.550431,1.575802,1.722665,1.780953,1.833508,1.879042,2.197707,2.278653,2.348452,2.498347,3.039184,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24
