Radius (arcsec),Profile (intensity)
0.01512608,0.08861970524303615
0.04537824,0.0024606328719331745
0.0756304,0.0008219198673598795
0.10588256,0.0003741566231562164
0.13613472,0.00024658227940699767
0.16638688000000001,0.0001521011398374546
0.19663904,0.00010284120027487612
0.22689120000000002,6.575289443697897e-05
0.25714336,5.212565101009683e-05
0.28739552,4.3994201838487316e-05
0.31764768,3.509836878947681e-05
0.34789984,2.829027275998016e-05
0.378152,2.303442930685284e-05
0.40840416,1.8126391030451368e-05
0.43865632,1.5949493456953043e-05
0.46890848,1.3663954843677186e-05
0.49916064,1.1636518723433414e-05
0.5294128,1.04408915630262e-05
0.55966496,9.417710914003538e-06
0.58991712,8.875739516745945e-06
0.62016928,8.095858671363335e-06
0.65042144,7.711876377337112e-06
0.6806736,7.029072837613106e-06
0.71092576,6.4937284347336286e-06
0.74117792,5.3387553780270095e-06
0.77143008,4.866419128100775e-06
0.80168224,4.261670751571049e-06
0.8319344,4.090271407563951e-06
0.86218656,3.315930660331008e-06
0.89243872,3.140257718166902e-06
0.92269088,2.745887875957284e-06
0.95294304,2.5146917407503957e-06
0.9831952,2.292235115566133e-06
1.01344736,2.0398227355733464e-06
1.04369952,1.8300055594630483e-06
1.07395168,1.705113066212211e-06
1.10420384,1.5757597716982337e-06
1.134456,1.3894506759459707e-06
1.16470816,1.2520570035092951e-06
1.19496032,1.1218718870296633e-06
1.22521248,1.0545490107781306e-06
1.25546464,9.488249304977858e-07
1.2857168,8.882646392155938e-07
1.31596896,8.089492334396545e-07
1.34622112,7.2963766615225e-07
1.37647328,6.593486889731998e-07
1.40672544,6.29513353942579e-07
1.4369776,5.961899473984102e-07
1.46722976,5.368785891212399e-07
1.49748192,4.763266865825597e-07
1.52773408,4.2870837414399127e-07
1.55798624,3.9271531554013696e-07
1.5882384,3.6556103309137674e-07
1.61849056,3.435329018935656e-07
1.64874272,3.1167685686222573e-07
1.67899488,2.869785340104902e-07
1.70924704,2.715122055265363e-07
1.7394992,2.5339685462446133e-07
1.76975136,2.4066867995157446e-07
1.80000352,2.24808610009813e-07
1.83025568,2.258324551336163e-07
1.86050784,1.752894906151551e-07
1.89076,1.6984039230795615e-07
1.92101216,1.6206496599870878e-07
1.95126432,1.5399225734942939e-07
1.98151648,1.4592936840573235e-07
2.01176864,1.3539444132601876e-07
2.0420208,1.2962063300840197e-07
