Radius (arcsec),Profile (intensity)
0.01134456,0.0757888551801443
0.03403368,0.002826752797527415
0.056722800000000004,0.0010496333197806962
0.07941192,0.0004980426729979514
0.10210104,0.0003412681077370668
0.12479016,0.00020965290112224679
0.14747928,0.00014605807821984249
0.1701684,9.546511989630368e-05
0.19285752,7.48206417759609e-05
0.21554664,6.357751559689897e-05
0.23823576,5.1537373094175087e-05
0.26092488,4.1153133829987345e-05
0.283614,3.353213997900505e-05
0.30630312,2.7710977735046674e-05
0.32899224,2.3043088268375027e-05
0.35168136,2.0035215567868572e-05
0.37437048,1.730997411477204e-05
0.3970596,1.544182112478115e-05
0.41974872,1.419067298552933e-05
0.44243784,1.3318303061195136e-05
0.46512696,1.2044201941791065e-05
0.48781608,1.1511071836448035e-05
0.5105052,1.0587473520500126e-05
0.53319432,9.635662714672156e-06
0.55588344,8.076933976895821e-06
0.57857256,7.304397211655884e-06
0.60126168,6.45824787156336e-06
0.6239508,5.971854500528668e-06
0.64663992,5.027376110263602e-06
0.66932904,4.708090928433366e-06
0.69201816,4.1118731223345984e-06
0.7147072800000001,3.751399313322907e-06
0.7373964,3.3873307449366455e-06
0.76008552,3.00715861099575e-06
0.78277464,2.710164583898531e-06
0.80546376,2.5093753379382705e-06
0.82815288,2.2853302693612036e-06
0.850842,2.1010444292971307e-06
0.87353112,1.8763068005125414e-06
0.89622024,1.682520395262762e-06
0.91890936,1.5736876172514025e-06
0.94159848,1.4150856552277127e-06
0.9642876,1.3299810996233512e-06
0.98697672,1.2074581676316103e-06
1.00966584,1.0952636351703608e-06
1.03235496,9.942695613956192e-07
1.05504408,9.496825679731171e-07
1.0777332,8.93902951789239e-07
1.10042232,8.14546990935144e-07
1.12311144,7.317198270169882e-07
1.14580056,6.675384904488234e-07
1.16848968,6.085971754662555e-07
1.1911788,5.71689305756171e-07
1.21386792,5.335606419435091e-07
1.23655704,4.927826346503976e-07
1.25924616,4.616326676193164e-07
1.28193528,4.292938147802163e-07
1.3046244,4.010678306550376e-07
1.32731352,3.8266028284070427e-07
1.35000264,3.562945317461587e-07
1.37269176,3.4807476808974643e-07
1.39538088,2.9254727056684266e-07
1.41807,2.8037350417283963e-07
1.44075912,2.6698406939552464e-07
1.46344824,2.522293213807321e-07
1.48613736,2.384944345264421e-07
1.50882648,2.2165794694425e-07
1.5315156,2.1162897506614203e-07
