Radius (arcsec),Profile (intensity)
0.00721926,0.05587067011777681
0.02165778,0.0024510780778589803
0.0360963,0.0012964139805540986
0.05053482,0.0006233984577612449
0.06497334,0.00043867270888938147
0.07941186,0.00026823613405235313
0.09385038,0.0001757624274139612
0.1082889,0.00011704443016710409
0.12272742,0.00010205220593737897
0.13716594,8.201951648665928e-05
0.15160446,6.586766757386665e-05
0.16604298,5.961454547628091e-05
0.1804815,5.383787258086457e-05
0.19492002,4.889577631758374e-05
0.20935854,4.325422592516097e-05
0.22379706,3.894811263738212e-05
0.23823558,3.969618557475794e-05
0.2526741,3.332859266453473e-05
0.26711262,2.8834597025680357e-05
0.28155114,2.6728047047981453e-05
0.29598966,2.3894981673565596e-05
0.31042818,2.2146758366532177e-05
0.3248667,2.090435823670639e-05
0.33930522,1.8625817444827552e-05
0.35374374,1.6013540769275602e-05
0.36818226,1.403103952909348e-05
0.38262078,1.246578626939996e-05
0.3970593,1.1295047174149782e-05
0.41149782,9.985402842023316e-06
0.42593633999999997,9.123366149385558e-06
0.44037486,8.323045990140573e-06
0.45481338,7.336061902746454e-06
0.4692519,6.735185909944836e-06
0.48369042,6.071021266224441e-06
0.49812894,5.525491251691187e-06
0.51256746,5.118427956088862e-06
0.52700598,4.605155241026334e-06
0.5414445,4.069902253712871e-06
0.55588302,3.7345031308747975e-06
0.57032154,3.458322346540985e-06
0.58476006,3.249820851371975e-06
0.59919858,2.9069669205646658e-06
0.6136371,2.7168093852147703e-06
0.62807562,2.490310818024938e-06
0.64251414,2.2538410501592604e-06
0.65695266,2.0793197710340155e-06
0.67139118,1.9473877409527932e-06
0.6858297,1.8193608869125796e-06
0.70026822,1.6651399415863178e-06
0.71470674,1.528382796205678e-06
0.72914526,1.4330296680574635e-06
0.74358378,1.3114543509888282e-06
0.7580223,1.2146843163589258e-06
0.7724608199999999,1.1336934256515045e-06
0.78689934,1.0583357433568506e-06
0.80133786,9.757096642798221e-07
0.81577638,9.181775400816827e-07
0.8302149,8.724284265587111e-07
0.84465342,8.003722806473113e-07
0.85909194,7.5544267678399e-07
0.87353046,7.217156343138295e-07
0.88796898,6.5100474399256e-07
0.9024075,6.18754086208002e-07
0.91684602,5.799038391895056e-07
0.9312845399999999,5.379295266096831e-07
0.94572306,5.136470381067561e-07
0.96016158,4.862761328320458e-07
0.9746001,4.601310971746175e-07
0.98903862,4.34328656894474e-07
1.00347714,4.119911317515738e-07
1.0179156599999999,3.919730227426339e-07
1.03235418,3.7458088780681556e-07
1.0467927,3.595491997188393e-07
1.06123122,3.360088779628172e-07
1.07566974,3.1548629363590827e-07
1.09010826,3.0306334074357794e-07
1.10454678,2.8618759661595597e-07
1.1189853,2.7243571713774995e-07
1.13342382,2.6254001001020585e-07
1.14786234,2.509114019895315e-07
1.16230086,2.413672496495649e-07
1.17673938,2.2919724525910905e-07
1.1911779,2.2425503976239996e-07
1.20561642,2.1542928377542982e-07
1.22005494,2.1656509762562527e-07
1.23449346,1.9433901763932418e-07
1.24893198,1.8755214424902086e-07
1.2633705,1.8007912723323205e-07
1.27780902,1.7443605554351092e-07
1.29224754,1.6859734645392204e-07
1.30668606,1.6276993776276683e-07
1.32112458,1.5566989703638386e-07
1.3355631,1.4902271049348563e-07
1.35000162,1.4618558922126451e-07
1.36444014,1.4326091589364465e-07
1.37887866,1.3843347617070142e-07
1.39331718,1.3631098683856731e-07
1.4077557,1.2634501822730433e-07
1.42219422,1.2012762416994196e-07
1.43663274,1.1546696518611362e-07
1.45107126,1.1261328781335252e-07
1.4655097799999999,1.0777257763622333e-07
1.4799483,1.0398048228926519e-07
1.49438682,9.946830278261005e-08
1.50882534,9.653439602213246e-08
1.52326386,9.393985505085976e-08
1.53770238,9.064653744603665e-08
1.5521409,8.693581379568987e-08
1.56657942,8.88020223274784e-08
1.58101794,7.70583288227503e-08
1.59545646,7.411432406906706e-08
1.60989498,7.153041526784856e-08
1.6243334999999999,7.04932188098866e-08
1.63877202,6.678877660141392e-08
1.65321054,6.401209624181582e-08
1.66764906,6.125125435808647e-08
1.68208758,5.8730956374221456e-08
1.6965261,5.748760383672848e-08
1.71096462,5.6675165145167285e-08
1.72540314,5.3933151784487944e-08
1.73984166,5.4299239737870116e-08
1.75428018,4.8461559866777897e-08
1.7687187,4.561401917624786e-08
1.7831572199999999,4.465696397461958e-08
1.79759574,4.210509321774617e-08
1.81203426,3.9974650871134634e-08
1.82647278,3.8537735121345175e-08
1.8409113,3.739740230926641e-08
1.85534982,3.6262164999796746e-08
1.86978834,3.501945956721349e-08
1.88422686,3.504695490920767e-08
1.89866538,3.385114766760028e-08
1.9131039,3.6821244540741864e-08
1.92754242,2.9822394708928084e-08
1.9419809399999999,2.8345574864050916e-08
1.95641946,2.8189871259618088e-08
1.97085798,2.7581392902707162e-08
1.9852965,2.6540511206594835e-08
1.99973502,2.5672754717729515e-08
2.01417354,2.5241825335902786e-08
2.02861206,2.4739355409791094e-08
2.04305058,2.422565059785917e-08
2.0574891,2.4874184984327215e-08
2.07192762,2.403204650757328e-08
2.08636614,2.6614164571690126e-08
2.10080466,2.2672751176642055e-08
2.11524318,2.1217607409756733e-08
2.1296817,2.152289300111006e-08
2.14412022,2.0796305136166774e-08
2.15855874,2.0306134868707286e-08
2.17299726,2.0329200387945885e-08
2.18743578,1.98815547984617e-08
2.2018743,1.958089849923565e-08
2.21631282,1.96060269249204e-08
2.23075134,2.0043373098371868e-08
2.24518986,1.9545511008735773e-08
2.25962838,2.2092588797093442e-08
2.2740669,1.885938030939274e-08
2.28850542,1.7722516313512706e-08
2.30294394,1.7764997437821586e-08
2.31738246,1.7450456641530804e-08
2.33182098,1.7187191013456755e-08
2.3462595,1.6690611438177034e-08
2.36069802,1.652383752384381e-08
2.37513654,1.6148307761801304e-08
2.38957506,1.601911568825356e-08
2.40401358,1.643613305568934e-08
2.4184521,1.6053516491551573e-08
2.43289062,1.8130916918190645e-08
2.44732914,1.5991867451729807e-08
2.46176766,1.4241883173529139e-08
2.47620618,1.4196909962025985e-08
2.4906447,1.3756238287789637e-08
2.50508322,1.3372089355204142e-08
2.51952174,1.3129044396809292e-08
2.53396026,1.3052039906580878e-08
2.54839878,1.2597569546500092e-08
2.5628373,1.2468213918401845e-08
2.57727582,1.3053375223580072e-08
2.59171434,1.2216546494194357e-08
2.60615286,1.3252312625660776e-08
2.62059138,1.2343081865500022e-08
2.6350299,1.0405689189546824e-08
2.64946842,1.060801959388076e-08
2.66390694,9.750169565144057e-09
2.67834546,9.315833405850543e-09
2.69278398,9.217371424743134e-09
2.7072225,9.08000176557496e-09
