Radius (arcsec),Profile (intensity)
0.01134456,0.08539480925440317
0.03403368,0.0023780875924309624
0.056722800000000004,0.000949711747439244
0.07941192,0.0004329742058199503
0.10210104,0.0002703762485204107
0.12479016,0.0001636936587926227
0.14747928,9.826358001120801e-05
0.1701684,5.693279386507432e-05
0.19285752,4.80270662299407e-05
0.21554664,3.633572290021168e-05
0.23823576,2.567141902166773e-05
0.26092488,2.1313732600454527e-05
0.283614,1.7726719957502862e-05
0.30630312,1.3433235382009202e-05
0.32899224,1.236372716955488e-05
0.35168136,1.2911299323979887e-05
0.37437048,1.681613727693419e-05
0.3970596,1.4116494339388128e-05
0.41974872,1.2134862746193537e-05
0.44243784,1.1911565741677455e-05
0.46512696,1.0996011337192342e-05
0.48781608,1.069141743734918e-05
0.5105052,1.0369626135883628e-05
0.53319432,9.362027039052412e-06
0.55588344,7.921641835783971e-06
0.57857256,6.9044149066855935e-06
0.60126168,6.04688388410933e-06
0.6239508,5.642345491267971e-06
0.64663992,4.815425616681032e-06
0.66932904,4.409263514332699e-06
0.69201816,4.054090431854768e-06
0.7147072800000001,3.532868484361174e-06
0.7373964,3.2624688114097426e-06
0.76008552,2.9315194287847104e-06
0.78277464,2.662313649183477e-06
0.80546376,2.471950859884112e-06
0.82815288,2.2617622142904167e-06
0.850842,1.8973368150132294e-06
0.87353112,1.7504846596203696e-06
0.89622024,1.62656449985722e-06
0.91890936,1.5325132963147957e-06
0.94159848,1.3606651495797261e-06
0.9642876,1.269300977784294e-06
0.98697672,1.164784805949674e-06
1.00966584,1.0425080862058191e-06
1.03235496,9.637083735247907e-07
1.05504408,9.015126996998012e-07
1.0777332,8.480805657012409e-07
1.10042232,7.649196520778122e-07
1.12311144,6.888749961375748e-07
1.14580056,6.403558285459537e-07
1.16848968,5.87119255698204e-07
1.1911788,5.389824465378275e-07
1.21386792,5.048239314998497e-07
1.23655704,4.647157895223312e-07
1.25924616,4.176424481943293e-07
1.28193528,4.0187724188464115e-07
1.3046244,3.819916618689665e-07
1.32731352,3.5049619212137815e-07
1.35000264,3.29400330743659e-07
1.37269176,3.2437694379002157e-07
1.39538088,2.7048332899792506e-07
1.41807,2.6202397460321216e-07
1.44075912,2.4533377398019597e-07
1.46344824,2.260872107180087e-07
1.48613736,2.1679847513242887e-07
1.50882648,2.0507153785855375e-07
1.5315156,1.958967641003992e-07
1.55420472,1.845293556794906e-07
1.57689384,1.766540761782694e-07
1.59958296,1.6878446956137796e-07
1.6222720800000001,1.6571369586443199e-07
1.6449612,1.6408634078252445e-07
1.66765032,1.4565931883766048e-07
1.69033944,1.3501861159692947e-07
1.71302856,1.3321473507314088e-07
1.73571768,1.2729023945564268e-07
1.7584068,1.2312484257586903e-07
1.78109592,1.1835371466852419e-07
1.80378504,1.1435530527843788e-07
1.82647416,1.1133542265951462e-07
1.84916328,1.0775173058922495e-07
1.8718524,1.0797804808753586e-07
1.89454152,1.0482493662095251e-07
1.91723064,1.1431736370740386e-07
1.93991976,9.079747026544921e-08
1.9626088800000001,9.106386764396431e-08
1.985298,8.902116770156832e-08
2.00798712,8.677225375953179e-08
2.03067624,8.531659780053031e-08
2.05336536,8.365098574472292e-08
2.07605448,8.075818342433662e-08
2.0987436,7.728459578105776e-08
2.12143272,7.705843140071959e-08
2.14412184,7.779797848796074e-08
2.16681096,7.612075436399565e-08
2.18950008,7.858179393116067e-08
2.2121892,7.002836835815143e-08
2.23487832,6.385955707869434e-08
2.25756744,6.313888215746552e-08
2.28025656,6.158693121691926e-08
2.30294568,5.9205537683725474e-08
2.3256348,5.703929760880848e-08
2.34832392,5.459908354078009e-08
2.37101304,5.288731124650588e-08
2.39370216,5.195074110157081e-08
2.41639128,5.1578469586225297e-08
2.4390804,4.960640285027922e-08
2.46176952,5.536852246877307e-08
2.48445864,3.9903154557590274e-08
2.50714776,3.935615245032646e-08
2.52983688,3.7604826993094854e-08
2.552526,3.7655963147598424e-08
2.57521512,3.5555517440776086e-08
2.59790424,3.3539547376931725e-08
2.62059336,3.238024463502781e-08
2.64328248,3.08899211468806e-08
2.6659716,3.024400331982246e-08
2.68866072,3.092766404966584e-08
2.71134984,2.923922626745715e-08
2.73403896,3.21353492627305e-08
2.75672808,2.4395374755359205e-08
2.7794172,2.206051394697635e-08
2.80210632,2.2721098433291846e-08
2.82479544,2.0468542842864217e-08
2.84748456,1.9039291514404508e-08
2.87017368,1.8415099332332485e-08
2.8928628,1.79726843323388e-08
2.91555192,1.7489382057990365e-08
2.93824104,1.668886752410172e-08
2.96093016,1.7880494938500674e-08
2.98361928,1.707832056201236e-08
3.0063084,2.3377866291982523e-08
3.02899752,1.2974957831966636e-08
3.0516866400000002,1.2538306757530082e-08
3.07437576,1.3356214705705463e-08
3.09706488,1.299665933338024e-08
3.119754,1.2509357926361888e-08
3.14244312,1.2030323613123379e-08
3.16513224,1.2156006559456669e-08
3.18782136,1.2111249031690768e-08
3.21051048,1.2083829301546887e-08
3.2331996,1.3664198218190985e-08
3.25588872,1.2866606238363186e-08
3.27857784,1.7598296865884567e-08
3.30126696,1.2101343653097902e-08
3.32395608,1.0650926149138982e-08
3.3466452,1.1705336933619946e-08
3.36933432,1.1118193242302554e-08
3.39202344,1.0903918655068658e-08
3.41471256,1.1338169462100784e-08
3.4374016800000002,1.1143808824476063e-08
3.4600908,1.1280536905302904e-08
3.48277992,1.1619572835810571e-08
3.50546904,1.276763511475482e-08
3.52815816,1.2329562059176362e-08
3.55084728,1.6755566568158766e-08
3.5735364,1.1802210898879696e-08
3.59622552,1.0602691671277425e-08
3.61891464,1.1094231936827639e-08
3.64160376,1.1057357039477007e-08
3.66429288,1.083815031654517e-08
3.686982,1.0615929663996025e-08
3.70967112,1.0730993129758115e-08
3.73236024,1.053686274699369e-08
3.75504936,1.056385250337217e-08
3.77773848,1.1507838048132756e-08
3.8004276,1.1214933093398523e-08
3.82311672,1.4561890369071361e-08
3.84580584,1.1607549962383554e-08
3.86849496,9.268655896402962e-09
3.89118408,9.53033188272064e-09
3.9138732,9.205325969821235e-09
3.93656232,8.864340421648693e-09
3.95925144,8.796629576646893e-09
3.98194056,8.94763631416568e-09
4.00462968,8.610258985038267e-09
4.0273188,8.649870638473336e-09
4.05000792,9.589533922826599e-09
4.07269704,8.551078204463007e-09
4.09538616,1.0517578130146364e-08
4.11807528,9.278062853359399e-09
4.1407644,6.56035127131218e-09
4.16345352,7.154186455630516e-09
4.18614264,6.247457540074695e-09
4.20883176,5.823756760582625e-09
4.23152088,5.905948350222585e-09
4.25421,5.784455724686157e-09
4.27689912,5.270318300998436e-09
4.29958824,4.969097126165885e-09
4.32227736,6.507472747501438e-09
4.34496648,6.2381325828448484e-09
4.3676556,6.618612180497012e-09
4.39034472,7.332444579959799e-09
4.41303384,4.022129539497874e-09
4.43572296,3.93034197552629e-09
4.45841208,3.753463842795101e-09
4.4811012,3.420923234470447e-09
4.50379032,3.6768172966840266e-09
4.52647944,3.5969780611182177e-09
4.54916856,3.314255916368831e-09
4.57185768,3.238576881381378e-09
4.5945468,5.631185848877925e-09
4.61723592,4.180510770648375e-09
4.63992504,4.563044882675986e-09
4.66261416,6.54259088536059e-09
4.68530328,2.6772018621133173e-09
4.7079924,2.961271169756644e-09
4.73068152,3.0443120156251175e-09
4.75337064,2.8620134789012154e-09
4.77605976,3.182541674570887e-09
4.79874888,3.1549953742000284e-09
4.821438,3.195235905190877e-09
4.8441271200000005,3.1626643718183487e-09
4.86681624,4.7676128083170015e-09
4.88950536,4.6685208801791335e-09
4.91219448,4.791506232465151e-09
4.9348836,6.84507790394242e-09
4.95757272,3.3494595823066584e-09
4.98026184,3.474090296342503e-09
5.00295096,3.5402419838234495e-09
5.02564008,3.442416097883256e-09
5.0483292,3.755476689409554e-09
5.07101832,3.938187644466242e-09
5.09370744,3.8875391626275715e-09
5.11639656,3.836058607465392e-09
5.13908568,5.136334378960742e-09
5.1617748,5.00498120758717e-09
5.18446392,5.391838228340634e-09
5.20715304,7.495171504725258e-09
5.2298421600000005,4.548375355927609e-09
5.25253128,4.217911897710819e-09
5.2752204,4.751071604720809e-09
5.29790952,5.874617332268619e-09
5.32059864,4.698416943930652e-09
5.34328776,4.9583422974916074e-09
5.36597688,5.002862555823732e-09
5.388666,4.351226434444661e-09
5.41135512,5.227429372325773e-09
5.43404424,6.68243272009254e-09
5.45673336,7.515073470325625e-09
5.47942248,8.607634668639786e-09
5.5021116,5.653659188765508e-09
5.52480072,5.960717606185027e-09
5.54748984,4.5907634330959656e-09
5.57017896,5.440569212604098e-09
5.59286808,6.43846475214609e-09
5.6155572000000005,6.044546444816763e-09
5.63824632,4.756144285079067e-09
5.66093544,5.07444158031797e-09
5.68362456,5.301845800465616e-09
5.70631368,3.45428839827511e-09
5.7290028,5.356166811559104e-09
5.75169192,6.225116377163016e-09
5.77438104,2.747081433426399e-09
5.79707016,4.333236399463672e-09
5.81975928,2.461715671269406e-09
5.8424484,2.443857649410962e-09
5.86513752,3.16571762171107e-09
5.88782664,5.416850814614447e-09
5.91051576,5.822445436420463e-09
5.93320488,4.260171071014267e-09
5.955894,5.400005415904079e-09
5.97858312,4.0368671494029765e-09
6.00127224,4.5746050842735895e-09
6.02396136,8.221192571308382e-09
6.04665048,3.6554706335083316e-09
6.0693396,3.789674642831854e-09
6.09202872,3.773333341880175e-09
6.11471784,4.044495330821561e-09
6.13740696,7.102248135595333e-09
6.16009608,8.707447013405866e-09
6.1827852,5.3822886094376725e-09
6.20547432,4.244062485480688e-09
6.22816344,3.174020287260858e-09
6.25085256,2.612673815054884e-09
6.27354168,2.4612135177035783e-09
6.2962308,4.4976778641673695e-09
6.31891992,1.4723999032748277e-09
6.34160904,1.3032040788084643e-09
6.36429816,1.013667072913247e-09
6.38698728,9.751610444803773e-10
6.4096764,1.0470736866546143e-09
6.43236552,1.5422851499755404e-09
6.45505464,8.237769864003888e-10
6.47774376,7.698885948319659e-10
6.50043288,1.0629867957490728e-09
6.523122,8.943105823199468e-10
6.54581112,6.963959550286152e-10
6.56850024,7.49934617844173e-10
6.59118936,7.746560156889385e-10
6.61387848,9.139387883576589e-10
6.6365676,5.945742862153017e-10
6.65925672,5.431661460264848e-10
6.68194584,6.635611698625597e-10
6.70463496,5.865729615623097e-10
6.72732408,5.651574112701972e-10
6.7500132,8.100313358510508e-10
6.77270232,7.089819555425139e-10
6.79539144,6.373815718354846e-10
6.81808056,6.672922178382536e-10
6.84076968,7.910436709032603e-10
6.8634588,5.723711082452529e-10
6.88614792,4.666932796637837e-10
6.90883704,4.596425911264373e-10
6.93152616,6.265928162047542e-10
6.95421528,6.397586820344785e-10
6.9769044000000005,4.367337114180666e-10
6.99959352,7.007822039384869e-10
7.02228264,5.287400622859373e-10
7.04497176,7.97877943674543e-10
7.06766088,9.278517691711369e-10
7.09035,5.589183828663651e-10
7.11303912,6.991977356705778e-10
7.13572824,5.150059585221842e-10
7.15841736,4.1622830152066024e-10
7.18110648,7.812978802569241e-10
7.2037956,4.92452301209681e-10
7.22648472,4.731695889969741e-10
7.24917384,5.805140278947037e-10
7.27186296,6.444099292477518e-10
7.29455208,4.5085793119870983e-10
7.3172412,3.2920141583524036e-10
7.33993032,3.5409938023362783e-10
7.3626194400000005,7.857426936003363e-10
7.38530856,3.910632612531068e-10
7.40799768,3.416000628929101e-10
7.4306868,3.2943557116457995e-10
7.45337592,2.8306361330827966e-10
7.47606504,4.765400473009484e-10
7.49875416,3.830059269524693e-10
7.52144328,2.640452290670272e-10
7.5441324,2.3116393211981052e-10
7.56682152,2.446914006957735e-10
7.58951064,3.0278402336959765e-10
7.61219976,5.163569595285003e-10
7.63488888,7.720521168636386e-10
7.657578,2.7941803274120336e-10
7.68026712,2.0442990604941264e-10
7.70295624,2.438799461766275e-10
