Radius (arcsec),Profile (intensity)
0.01512608,0.09427083243680148
0.04537824,0.002273986069548261
0.0756304,0.0007553131197914264
0.10588256,0.00033014718273046713
0.13613472,0.00019756373326161307
0.16638688000000001,0.0001227288265480242
0.19663904,7.208126168499311e-05
0.22689120000000002,4.201143453145681e-05
0.25714336,3.562901513097112e-05
0.28739552,2.7587429096119732e-05
0.31764768,1.9424813114634308e-05
0.34789984,1.6094712407293692e-05
0.378152,1.3657980667855061e-05
0.40840416,9.500803184399515e-06
0.43865632,9.610662623561207e-06
0.46890848,9.383506953317366e-06
0.49916064,1.1529996475315058e-05
0.5294128,9.76155922712688e-06
0.55966496,8.239320810342733e-06
0.58991712,8.055678669980039e-06
0.62016928,7.4651729436362385e-06
0.65042144,7.210692349334998e-06
0.6806736,6.899776745871823e-06
0.71092576,6.326838100082002e-06
0.74117792,5.27616271421134e-06
0.77143008,4.620043045424497e-06
0.80168224,4.021938666797553e-06
0.8319344,3.899567202543476e-06
0.86218656,3.2150977351773758e-06
0.89243872,2.961258500542193e-06
0.92269088,2.7364035766469862e-06
0.95294304,2.3998532854304727e-06
0.9831952,2.2264593672918387e-06
1.01344736,2.0062979590393668e-06
1.04369952,1.8205018410053405e-06
1.07395168,1.6934034922651272e-06
1.10420384,1.5793306753078555e-06
1.134456,1.2762881473564377e-06
1.16470816,1.1862086457627429e-06
1.19496032,1.1016419297092223e-06
1.22521248,1.0391872258300295e-06
1.25546464,9.230702399794206e-07
1.2857168,8.57980647457071e-07
1.31596896,7.881540951708848e-07
1.34622112,7.032808504304272e-07
1.37647328,6.505466150908671e-07
1.40672544,6.043861160730543e-07
1.4369776,5.743743436275329e-07
1.46722976,5.115850774106436e-07
1.49748192,4.5543578161589264e-07
1.52773408,4.1684457071548643e-07
1.55798624,3.866397964451771e-07
1.5882384,3.503113231021153e-07
1.61849056,3.298418109102323e-07
1.64874272,2.9914610983375766e-07
1.67899488,2.6278604419661226e-07
1.70924704,2.58238332833765e-07
1.7394992,2.4375196934182024e-07
1.76975136,2.2482229689269995e-07
1.80000352,2.1096399668785327e-07
1.83025568,2.136221569042024e-07
1.86050784,1.6441208363566515e-07
1.89076,1.611243187484407e-07
1.92101216,1.5213551104198468e-07
1.95126432,1.3967492504968862e-07
1.98151648,1.3436509077597965e-07
2.01176864,1.2671444579047556e-07
2.0420208,1.2157735178564572e-07
2.07227296,1.1487276296761573e-07
2.10252512,1.1116420285724334e-07
2.13277728,1.0642001126463763e-07
2.16302944,1.0730733175737114e-07
2.1932816,1.0890313308205217e-07
2.22353376,9.252509200974299e-08
2.25378592,8.46398737742354e-08
2.28403808,8.587497280594536e-08
2.31429024,8.272716282469423e-08
2.3445424,8.164315662606214e-08
2.37479456,7.78238101163225e-08
2.40504672,7.600631907828459e-08
2.43529888,7.482908493383429e-08
2.46555104,7.387314968791668e-08
2.4958032,7.522444946883718e-08
2.52605536,7.371479862645292e-08
2.55630752,8.561975551397629e-08
2.58655968,6.16939226974688e-08
2.61681184,6.402769508840196e-08
2.647064,6.359613570636646e-08
2.67731616,6.218549502552233e-08
2.70756832,6.191893021249985e-08
2.73782048,6.130404582496182e-08
2.76807264,5.967742418500182e-08
2.7983248,5.720613213238078e-08
2.82857696,5.7487790383537244e-08
2.8588291200000002,5.917941139628919e-08
2.88908128,5.838966128288496e-08
2.91933344,6.232979099420452e-08
2.9495856,5.43162869712676e-08
2.97983776,4.7977706122791455e-08
3.01008992,4.844085826242041e-08
3.04034208,4.715401807090844e-08
3.07059424,4.539111148660205e-08
3.1008464,4.369913865818822e-08
3.13109856,4.2019118700379197e-08
3.16135072,4.046440916650598e-08
3.19160288,3.995956953837083e-08
3.22185504,4.045810375980821e-08
3.2521072,3.909315919799789e-08
3.28235936,4.596899861263834e-08
3.31261152,2.945719146584335e-08
3.3428636800000002,2.9641438280206547e-08
3.37311584,2.8038614985324532e-08
3.403368,2.8277064380616316e-08
3.43362016,2.6731158446664055e-08
3.46387232,2.4900214966453234e-08
3.49412448,2.4234938087875666e-08
3.52437664,2.3009459966613606e-08
3.5546288,2.242587674363002e-08
3.58488096,2.35450585573301e-08
3.61513312,2.221590388805901e-08
3.64538528,2.593746758124632e-08
3.67563744,1.7616414279503747e-08
3.7058896,1.5408789342424667e-08
3.73614176,1.6525556249151187e-08
3.76639392,1.4335021518498901e-08
3.79664608,1.3145314345677192e-08
3.8268982400000002,1.275530823575906e-08
3.8571504,1.2543705902244959e-08
3.88740256,1.2172785976403817e-08
3.91765472,1.1499844719647947e-08
3.94790688,1.3003472254964018e-08
3.97815904,1.2248583313886838e-08
4.0084112,1.9565848766878768e-08
4.03866336,8.210244024486034e-09
4.06891552,8.103642743494417e-09
4.09916768,9.195355826796579e-09
4.12941984,8.846070773590024e-09
4.159672,8.556788837718269e-09
4.18992416,8.170222143682185e-09
4.22017632,8.4429156718726e-09
4.25042848,8.523389089343941e-09
4.28068064,8.649992236209992e-09
4.3109328,1.0467951384277518e-08
4.34118496,9.666474050123616e-09
4.37143712,1.501072437631473e-08
4.40168928,9.12896277490203e-09
4.43194144,7.660763768809516e-09
4.4621936,8.908756930879447e-09
4.49244576,8.363699106189938e-09
4.52269792,8.253256584520905e-09
4.5529500800000005,8.785221712922093e-09
4.58320224,8.65167325470599e-09
4.6134544,8.920557165694665e-09
4.64370656,9.359348533005908e-09
4.67395872,1.068745718388387e-08
4.70421088,1.0247489823920955e-08
4.73446304,1.518147525989123e-08
4.7647152,9.815645773891944e-09
4.79496736,8.548605787554473e-09
4.82521952,9.174632140293456e-09
4.85547168,9.229129735877769e-09
4.88572384,8.99668502681848e-09
4.915976,8.880440972580919e-09
4.94622816,9.085080323545081e-09
4.97648032,8.925269999867928e-09
5.00673248,8.992827673189703e-09
5.03698464,1.0095615378283182e-08
5.0672368,9.81978528553484e-09
5.09748896,1.3490442861421098e-08
5.12774112,1.0385300627800677e-08
5.15799328,7.838908464554147e-09
5.18824544,8.204438751806487e-09
5.2184976,7.898438691133757e-09
5.24874976,7.568947503215304e-09
5.27900192,7.550102244345857e-09
5.30925408,7.784273120833268e-09
