# wavelength (nm),inst_bkg (ph/s) 
9.200000000000000000e+02,3.262429138759297001e-88
9.201000000000000227e+02,3.342251551985880765e-88
9.202000000000000455e+02,3.424008964405787090e-88
9.203000000000000682e+02,3.507747844032828592e-88
9.204000000000000909e+02,3.593515764201410732e-88
9.205000000000001137e+02,3.681361429605074919e-88
9.206000000000001364e+02,3.771334702944966021e-88
9.207000000000001592e+02,3.863486632195408145e-88
9.208000000000001819e+02,3.957869478509317845e-88
9.209000000000002046e+02,4.054536744771861951e-88
9.210000000000002274e+02,4.153543204819800635e-88
9.211000000000002501e+02,4.254944933343647124e-88
9.212000000000002728e+02,4.358799336483443288e-88
9.213000000000002956e+02,4.465165183138999453e-88
9.214000000000003183e+02,4.574102637009597360e-88
9.215000000000003411e+02,4.685673289378172502e-88
9.216000000000003638e+02,4.799940192659128664e-88
9.217000000000003865e+02,4.916967894728008878e-88
9.218000000000004093e+02,5.036822474048484341e-88
9.219000000000004320e+02,5.159571575614710808e-88
9.220000000000004547e+02,5.285284447735199403e-88
9.221000000000004775e+02,5.414031979664626139e-88
9.222000000000005002e+02,5.545886740116379068e-88
9.223000000000005230e+02,5.680923016666368836e-88
9.224000000000005457e+02,5.819216856074655868e-88
9.225000000000005684e+02,5.960846105541560175e-88
9.226000000000005912e+02,6.105890454922736445e-88
9.227000000000006139e+02,6.254431479927162498e-88
9.228000000000006366e+02,6.406552686311921011e-88
9.229000000000006594e+02,6.562339555107694677e-88
9.230000000000006821e+02,6.721879588891966693e-88
9.231000000000007049e+02,6.885262359135581291e-88
9.232000000000007276e+02,7.052579554647599061e-88
9.233000000000007503e+02,7.223925031142174108e-88
9.234000000000007731e+02,7.399394861955654917e-88
9.235000000000007958e+02,7.579087389940536960e-88
9.236000000000008185e+02,7.763103280558681428e-88
9.237000000000008413e+02,7.951545576205726713e-88
9.238000000000008640e+02,8.144519751795516257e-88
9.239000000000008868e+02,8.342133771628562212e-88
9.240000000000009095e+02,8.544498147579630417e-88
9.241000000000009322e+02,8.751725998631284550e-88
9.242000000000009550e+02,8.963933111782741022e-88
9.243000000000009777e+02,9.181238004371768819e-88
9.244000000000010004e+02,9.403761987835583687e-88
9.245000000000010232e+02,9.631629232945900256e-88
9.246000000000010459e+02,9.864966836553612661e-88
9.247000000000010687e+02,1.010390488987580495e-87
9.248000000000010914e+02,1.034857654835911856e-87
9.249000000000011141e+02,1.059911810316096377e-87
9.250000000000011369e+02,1.085566905427602354e-87
9.251000000000011596e+02,1.111837218535739802e-87
9.252000000000011823e+02,1.138737364026205269e-87
9.253000000000012051e+02,1.166282300136341874e-87
9.254000000000012278e+02,1.194487336967187139e-87
9.255000000000012506e+02,1.223368144680207711e-87
9.256000000000012733e+02,1.252940761883550995e-87
