# wavelength_um,emissivity
9.000000000000000222e-01,1.205771359652312302e-01
9.010000000000000231e-01,1.203962158561174833e-01
9.020000000000000240e-01,1.202152796497302223e-01
9.030000000000000249e-01,1.200343303253832428e-01
9.040000000000000258e-01,1.198533663944485461e-01
9.050000000000000266e-01,1.196723863678168520e-01
9.060000000000000275e-01,1.194913932255231570e-01
9.070000000000000284e-01,1.193103854785783069e-01
9.080000000000000293e-01,1.191293631276272302e-01
9.090000000000000302e-01,1.189483246830798091e-01
9.100000000000000311e-01,1.187672731259319381e-01
9.110000000000000320e-01,1.185862069667135144e-01
9.120000000000000329e-01,1.184051247154725983e-01
9.130000000000000338e-01,1.182240293539266185e-01
9.140000000000000346e-01,1.180429193922438724e-01
9.150000000000000355e-01,1.178617933401122642e-01
9.160000000000000364e-01,1.176806541799698680e-01
9.170000000000000373e-01,1.174995004216237149e-01
9.180000000000000382e-01,1.173183320657184003e-01
9.190000000000000391e-01,1.171371476214605467e-01
9.200000000000000400e-01,1.169559500722487932e-01
9.210000000000000409e-01,1.167747379274096664e-01
9.220000000000000417e-01,1.165935096957894102e-01
9.230000000000000426e-01,1.164122683615065323e-01
9.240000000000000435e-01,1.162310124335272921e-01
9.250000000000000444e-01,1.160497404203371108e-01
9.260000000000000453e-01,1.158684553067754752e-01
9.270000000000000462e-01,1.156871556014471558e-01
9.280000000000000471e-01,1.155058413049954158e-01
9.290000000000000480e-01,1.153245109254247280e-01
9.300000000000000488e-01,1.151431674485352552e-01
9.310000000000000497e-01,1.149618093824512632e-01
9.320000000000000506e-01,1.147804352348161805e-01
9.330000000000000515e-01,1.145990479921503713e-01
9.340000000000000524e-01,1.144176461622176122e-01
9.350000000000000533e-01,1.142362282523011752e-01
9.360000000000000542e-01,1.140547972496412932e-01
9.370000000000000551e-01,1.138733516616410313e-01
9.379999999999999449e-01,1.136918914889425425e-01
9.389999999999999458e-01,1.135104152383482612e-01
9.399999999999999467e-01,1.133289258980587633e-01
9.409999999999999476e-01,1.131474219749966093e-01
9.419999999999999485e-01,1.129659019756036331e-01
9.429999999999999494e-01,1.127843688887999463e-01
