# wavelength_um, throughput
8.000000000000000444e-01,2.640747105578723497e-01
8.003320664132830276e-01,2.640696186323323036e-01
8.006641328265650115e-01,2.640550292498979879e-01
8.009961992398479946e-01,2.640406184916230248e-01
8.013282656531309778e-01,2.640281092574571775e-01
8.016603320664129617e-01,2.640155905141851611e-01
8.019923984796959449e-01,2.640136160820379385e-01
8.023244648929790390e-01,2.640137278622559092e-01
8.026565313062610230e-01,2.640154093562764870e-01
8.029885977195440061e-01,2.640075483132184875e-01
8.033206641328269892e-01,2.640106892671502115e-01
8.036527305461089732e-01,2.640242388003102847e-01
8.039847969593919563e-01,2.640378315807317966e-01
8.043168633726740513e-01,2.640550467700406578e-01
8.046489297859570344e-01,2.640808166387486056e-01
8.049809961992400176e-01,2.641053101718797702e-01
8.053130626125220015e-01,2.641149158013893494e-01
8.056451290258049847e-01,2.641244382025008663e-01
8.059771954390879678e-01,2.641384116839429752e-01
8.063092618523709509e-01,2.641574161350351280e-01
8.066413282656530459e-01,2.641703431767896681e-01
8.069733946789360290e-01,2.641860387851313607e-01
8.073054610922180130e-01,2.642007911928874742e-01
8.076375275055009961e-01,2.642193998481185968e-01
8.079695939187839793e-01,2.642379958432221621e-01
8.083016603320659632e-01,2.642654919463354735e-01
8.086337267453489464e-01,2.643067537469185324e-01
8.089657931586320405e-01,2.643654225784566325e-01
8.092978595719140245e-01,2.644357916297789823e-01
8.096299259851970076e-01,2.645170255404016846e-01
8.099619923984799907e-01,2.646124737923634118e-01
8.102940588117619747e-01,2.647171264372739086e-01
8.106261252250449578e-01,2.648290377257693784e-01
8.109581916383280520e-01,2.649440866893429392e-01
8.112902580516100359e-01,2.650655779025258285e-01
8.116223244648930191e-01,2.651688562604297972e-01
8.119543908781760022e-01,2.652625512503350991e-01
8.122864572914579862e-01,2.653455803285037495e-01
8.126185237047409693e-01,2.654204026370324265e-01
8.129505901180239524e-01,2.654785031632479475e-01
8.132826565313060474e-01,2.655283833113354364e-01
8.136147229445890305e-01,2.655672929012233840e-01
8.139467893578720137e-01,2.655965574245624516e-01
8.142788557711539976e-01,2.656300724137899971e-01
8.146109221844369808e-01,2.656668682872013743e-01
8.149429885977199639e-01,2.657135418593614684e-01
8.152750550110019478e-01,2.657983365849810320e-01
8.156071214242850420e-01,2.658849888949907925e-01
8.159391878375670260e-01,2.659756200999404685e-01
8.162712542508500091e-01,2.660665712656423709e-01
8.166033206641329922e-01,2.661423864534591677e-01
8.169353870774149762e-01,2.662172163897930099e-01
8.172674534906979593e-01,2.662912921493915674e-01
8.175995199039810535e-01,2.663558900609316882e-01
8.179315863172630374e-01,2.663990148910974076e-01
8.182636527305460206e-01,2.664295593869485668e-01
8.185957191438290037e-01,2.664514469947839581e-01
8.189277855571109876e-01,2.664537693228543613e-01
8.192598519703939708e-01,2.664373418650290426e-01
8.195919183836769539e-01,2.664119198039054393e-01
8.199239847969590489e-01,2.664039181439765702e-01
8.202560512102420320e-01,2.664160383477038874e-01
8.205881176235250152e-01,2.664455822208060543e-01
8.209201840368069991e-01,2.664950650337318816e-01
8.212522504500899823e-01,2.665457335676335582e-01
8.215843168633729654e-01,2.666035939445539626e-01
8.219163832766549493e-01,2.666672145192932053e-01
8.222484496899380435e-01,2.667365911453208893e-01
8.225805161032210266e-01,2.668087482166279223e-01
8.229125825165030106e-01,2.668883469450555324e-01
8.232446489297859937e-01,2.669743752193350916e-01
8.235767153430689769e-01,2.670737649340486075e-01
8.239087817563509608e-01,2.671564099257560110e-01
8.242408481696340550e-01,2.672355364711765935e-01
8.245729145829170381e-01,2.673130148897448488e-01
8.249049809961990221e-01,2.673717317316548492e-01
8.252370474094820052e-01,2.673828948509461845e-01
8.255691138227649883e-01,2.673730339961113978e-01
8.259011802360469723e-01,2.673536765354043165e-01
8.262332466493299554e-01,2.673461954028044096e-01
8.265653130626120504e-01,2.673330924770358497e-01
8.268973794758950335e-01,2.673122987539420237e-01
8.272294458891780167e-01,2.672910120973192583e-01
8.275615123024600006e-01,2.672651109778189649e-01
8.278935787157429838e-01,2.672456026206177504e-01
8.282256451290259669e-01,2.672380927314709220e-01
8.285577115423079508e-01,2.672406324148152157e-01
8.288897779555910450e-01,2.673021532031252812e-01
8.292218443688740281e-01,2.674168921212924377e-01
8.295539107821560121e-01,2.675834878464681821e-01
8.298859771954389952e-01,2.677558947450388027e-01
8.302180436087219784e-01,2.679313975028123629e-01
8.305501100220039623e-01,2.681071634342271914e-01
8.308821764352869454e-01,2.682842912052458284e-01
8.312142428485700396e-01,2.684644763675067547e-01
8.315463092618520236e-01,2.686351684422672026e-01
8.318783756751350067e-01,2.687971640051522448e-01
8.322104420884179898e-01,2.689507207976463143e-01
8.325425085016999738e-01,2.691044518921469342e-01
8.328745749149829569e-01,2.692346366352753040e-01
8.332066413282660511e-01,2.693234847202894966e-01
8.335387077415480350e-01,2.694162375442041846e-01
8.338707741548310182e-01,2.695455223004779022e-01
8.342028405681140013e-01,2.697050174466844030e-01
8.345349069813959852e-01,2.698809467394587269e-01
8.348669733946789684e-01,2.700656641125817048e-01
8.351990398079619515e-01,2.702594676904512272e-01
8.355311062212440465e-01,2.704623693037527810e-01
8.358631726345270296e-01,2.706772819458527213e-01
8.361952390478100128e-01,2.709016379595008406e-01
8.365273054610919967e-01,2.711255162659632623e-01
8.368593718743749799e-01,2.713355995328742831e-01
8.371914382876579630e-01,2.715350065871557916e-01
8.375235047009399469e-01,2.717217851911493121e-01
8.378555711142230411e-01,2.718950321208006837e-01
8.381876375275050250e-01,2.720288024255090864e-01
8.385197039407880082e-01,2.721375348519580739e-01
8.388517703540709913e-01,2.722394411488156529e-01
8.391838367673539745e-01,2.723413553195740966e-01
8.395159031806359584e-01,2.724441091894311828e-01
8.398479695939190526e-01,2.725529421114666340e-01
8.401800360072010365e-01,2.726651429045661157e-01
8.405121024204840197e-01,2.727786609915682225e-01
8.408441688337670028e-01,2.729023397601130219e-01
8.411762352470489867e-01,2.730364543635710461e-01
8.415083016603319699e-01,2.731753541931298268e-01
8.418403680736149530e-01,2.733203532390024448e-01
8.421724344868970480e-01,2.734721573748463697e-01
8.425045009001800311e-01,2.736338731479940889e-01
8.428365673134630143e-01,2.738077834759127804e-01
8.431686337267449982e-01,2.739896577341399686e-01
8.435007001400279814e-01,2.741731505643805744e-01
8.438327665533109645e-01,2.743460276887723648e-01
8.441648329665929484e-01,2.745036539581549584e-01
8.444968993798760426e-01,2.746408781920745001e-01
8.448289657931590257e-01,2.747712435648762552e-01
8.451610322064410097e-01,2.748879813047403475e-01
8.454930986197239928e-01,2.749910931266804082e-01
8.458251650330069760e-01,2.751045600093706689e-01
8.461572314462889599e-01,2.752339427596685040e-01
8.464892978595720541e-01,2.753687576007822768e-01
8.468213642728540380e-01,2.754980363913970831e-01
8.471534306861370212e-01,2.756164002381183975e-01
8.474854970994200043e-01,2.757252542960888508e-01
8.478175635127029874e-01,2.758274329608099706e-01
8.481496299259849714e-01,2.759166110326400356e-01
8.484816963392679545e-01,2.760024259304382777e-01
8.488137627525500495e-01,2.760896329757663858e-01
8.491458291658330326e-01,2.761850313523066536e-01
8.494778955791160158e-01,2.762984319303524172e-01
8.498099619923979997e-01,2.764200502066917475e-01
8.501420284056809828e-01,2.765477997783695185e-01
8.504740948189639660e-01,2.766615130671888356e-01
8.508061612322469491e-01,2.767675379219445841e-01
8.511382276455290441e-01,2.768578045517370856e-01
8.514702940588120272e-01,2.769228913657337809e-01
8.518023604720940112e-01,2.768973743514392405e-01
8.521344268853769943e-01,2.768676922033802001e-01
8.524664932986599775e-01,2.768339631138451717e-01
8.527985597119419614e-01,2.768001217515668744e-01
8.531306261252249445e-01,2.767480216593927733e-01
8.534626925385080387e-01,2.766903471334450360e-01
8.537947589517900226e-01,2.766273981790771663e-01
8.541268253650730058e-01,2.765686232705241721e-01
8.544588917783559889e-01,2.765180770085985396e-01
8.547909581916379729e-01,2.764720031661335731e-01
8.551230246049209560e-01,2.764367236240094505e-01
8.554550910182040502e-01,2.764531717882025008e-01
8.557871574314860341e-01,2.765287550189561294e-01
8.561192238447690173e-01,2.766476419356538319e-01
8.564512902580520004e-01,2.767896493822903370e-01
8.567833566713339843e-01,2.769292875067365101e-01
8.571154230846169675e-01,2.770707758156591982e-01
8.574474894978999506e-01,2.772102914410697339e-01
8.577795559111820456e-01,2.773315950394216189e-01
8.581116223244650287e-01,2.774292230901920786e-01
8.584436887377470127e-01,2.774909690053636302e-01
8.587757551510299958e-01,2.775252043433640847e-01
8.591078215643129790e-01,2.775277976198865515e-01
8.594398879775959621e-01,2.775297874763578698e-01
8.597719543908779460e-01,2.775291942525511812e-01
8.601040208041610402e-01,2.775203346431269202e-01
8.604360872174430241e-01,2.774996054390324596e-01
8.607681536307260073e-01,2.774824627662293430e-01
8.611002200440089904e-01,2.774732508868807401e-01
8.614322864572909744e-01,2.774830591753380538e-01
8.617643528705739575e-01,2.775165204204951275e-01
8.620964192838570517e-01,2.775684785164828638e-01
8.624284856971390356e-01,2.776579430658701608e-01
8.627605521104220188e-01,2.777704738221557501e-01
8.630926185237050019e-01,2.778898841461889813e-01
8.634246849369869858e-01,2.780059591624154391e-01
8.637567513502699690e-01,2.780974385909124602e-01
8.640888177635529521e-01,2.781789499335604599e-01
8.644208841768350471e-01,2.782577354712885698e-01
8.647529505901180302e-01,2.783300520528582123e-01
8.650850170034010134e-01,2.783857636705345806e-01
8.654170834166829973e-01,2.784340035135010605e-01
8.657491498299659805e-01,2.784715166280364862e-01
8.660812162432489636e-01,2.784952440886415137e-01
8.664132826565309475e-01,2.784938267717438354e-01
8.667453490698140417e-01,2.785008667149867501e-01
8.670774154830970248e-01,2.785125225611349564e-01
8.674094818963790088e-01,2.785241024785765074e-01
8.677415483096619919e-01,2.785637101950195205e-01
8.680736147229449751e-01,2.786163358330430162e-01
8.684056811362269590e-01,2.786707972319255044e-01
8.687377475495100532e-01,2.787243142158651876e-01
8.690698139627930363e-01,2.787777913871349322e-01
8.694018803760750203e-01,2.788312287222617369e-01
8.697339467893580034e-01,2.788815366366788062e-01
8.700660132026399873e-01,2.789530566060474115e-01
8.703980796159229705e-01,2.790442888326828408e-01
8.707301460292059536e-01,2.791469935718379758e-01
8.710622124424880486e-01,2.792579254161753344e-01
8.713942788557710317e-01,2.794538659083463106e-01
8.717263452690540149e-01,2.796672730348741531e-01
8.720584116823359988e-01,2.798887047101557002e-01
8.723904780956189819e-01,2.801304490292955141e-01
8.727225445089019651e-01,2.803873226042944977e-01
8.730546109221839490e-01,2.806536389505611129e-01
8.733866773354670432e-01,2.809304513091786526e-01
8.737187437487500263e-01,2.811970570662775670e-01
8.740508101620320103e-01,2.814612362401048284e-01
8.743828765753149934e-01,2.817160503584265063e-01
8.747149429885979766e-01,2.819471992845716257e-01
8.750470094018799605e-01,2.821547381700668655e-01
8.753790758151630547e-01,2.822891645441653607e-01
8.757111422284460378e-01,2.823481556237909529e-01
8.760432086417280217e-01,2.823783300020053511e-01
8.763752750550110049e-01,2.823983705185208470e-01
8.767073414682939880e-01,2.824084240154072223e-01
8.770394078815759720e-01,2.824054734199917260e-01
8.773714742948589551e-01,2.824063834906904158e-01
8.777035407081420493e-01,2.824213499093294888e-01
8.780356071214240332e-01,2.824488095639323681e-01
8.783676735347070164e-01,2.824883015885417681e-01
8.786997399479899995e-01,2.825524649064967697e-01
8.790318063612719834e-01,2.826934756998741305e-01
8.793638727745549666e-01,2.829127799046201042e-01
8.796959391878379497e-01,2.831802374654469601e-01
8.800280056011200447e-01,2.834486337529338318e-01
8.803600720144030278e-01,2.837140017331042929e-01
8.806921384276860110e-01,2.839700304498250505e-01
8.810242048409679949e-01,2.842390655809515221e-01
8.813562712542509781e-01,2.845003672037487163e-01
8.816883376675329620e-01,2.847592971679407947e-01
8.820204040808159451e-01,2.850143196519637212e-01
8.823524704940990393e-01,2.852694919815390584e-01
8.826845369073810232e-01,2.855275965708070074e-01
8.830166033206640064e-01,2.857755595477755040e-01
8.833486697339469895e-01,2.859098663100085314e-01
8.836807361472289735e-01,2.862005358929853860e-01
8.840128025605119566e-01,2.865583768812123844e-01
8.843448689737950508e-01,2.869387585406551477e-01
8.846769353870770347e-01,2.873190409931194456e-01
8.850090018003600179e-01,2.876853950475606880e-01
8.853410682136430010e-01,2.880492847770532716e-01
8.856731346269249849e-01,2.884219933568320515e-01
8.860052010402079681e-01,2.887852030759300859e-01
8.863372674534909512e-01,2.891416728863713814e-01
8.866693338667730462e-01,2.894919329378276007e-01
8.870014002800560293e-01,2.898512926844371562e-01
8.873334666933390125e-01,2.901919426952812020e-01
8.876655331066209964e-01,2.904103072042752975e-01
8.879975995199039795e-01,2.904430481699276645e-01
8.883296659331869627e-01,2.904341863175455840e-01
8.886617323464689466e-01,2.904329697540272703e-01
8.889937987597520408e-01,2.904476396344187195e-01
8.893258651730350239e-01,2.904742073166621807e-01
8.896579315863170079e-01,2.905006909265424042e-01
8.899899979995999910e-01,2.905353366681425742e-01
8.903220644128829742e-01,2.905755628260122125e-01
8.906541308261649581e-01,2.906141854398455182e-01
8.909861972394480523e-01,2.906327804361629741e-01
8.913182636527300362e-01,2.906459221361155643e-01
8.916503300660130193e-01,2.906520668552555198e-01
8.919823964792960025e-01,2.907335630631811552e-01
8.923144628925789856e-01,2.907949964568674051e-01
8.926465293058609696e-01,2.908389553074835487e-01
8.929785957191439527e-01,2.908708895379841231e-01
8.933106621324260477e-01,2.909025577844194799e-01
8.936427285457090308e-01,2.908350460911277025e-01
8.939747949589920140e-01,2.905768046340208022e-01
8.943068613722739979e-01,2.897080478130644732e-01
8.946389277855569810e-01,2.888211159017294305e-01
8.949709941988399642e-01,2.879431257486783635e-01
8.953030606121219481e-01,2.870786993948585830e-01
8.956351270254050423e-01,2.862129552971087731e-01
8.959671934386880254e-01,2.853514942436566337e-01
8.962992598519700094e-01,2.845108740342753850e-01
8.966313262652529925e-01,2.837187668053473555e-01
8.969633926785359757e-01,2.829547405878090061e-01
8.972954590918179596e-01,2.822106189371265672e-01
8.976275255051010538e-01,2.815702014668677311e-01
8.979595919183840369e-01,2.814922326095343208e-01
8.982916583316660208e-01,2.821594817851877934e-01
8.986237247449490040e-01,2.830725898105405092e-01
8.989557911582319871e-01,2.840193873505300615e-01
8.992878575715139711e-01,2.852678483995000347e-01
8.996199239847969542e-01,2.866122900364528880e-01
8.999519903980800484e-01,2.880108871063487008e-01
9.002840568113620323e-01,2.893963258496946023e-01
9.006161232246450155e-01,2.907704699545563543e-01
9.009481896379279986e-01,2.921388088439703101e-01
9.012802560512099825e-01,2.934980600915292892e-01
9.016123224644929657e-01,2.948316163471326190e-01
9.019443888777759488e-01,2.958082805683137084e-01
9.022764552910580438e-01,2.965748481378924217e-01
9.026085217043410269e-01,2.971750405994947331e-01
9.029405881176230109e-01,2.977446125870852889e-01
9.032726545309059940e-01,2.981242505555979916e-01
9.036047209441889771e-01,2.983602413223105376e-01
9.039367873574719603e-01,2.984965212056050476e-01
9.042688537707540553e-01,2.986328455817994221e-01
9.046009201840370384e-01,2.987632547629992530e-01
9.049329865973190223e-01,2.988900638420223244e-01
9.052650530106020055e-01,2.990175240505432708e-01
9.055971194238849886e-01,2.991538571960835613e-01
9.059291858371669726e-01,2.992928400052893845e-01
9.062612522504499557e-01,2.994316039108109728e-01
9.065933186637330499e-01,2.995610050738095609e-01
9.069253850770150338e-01,2.996950142913534232e-01
9.072574514902980169e-01,2.998330979366769511e-01
